Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,023000,2020,01,01,25.3,1,Y
IDCJAC0010,023000,2020,01,02,31.8,1,Y
IDCJAC0010,023000,2020,01,03,40.6,1,Y
IDCJAC0010,023000,2020,01,04,24.6,1,Y
IDCJAC0010,023000,2020,01,05,17.8,1,Y
IDCJAC0010,023000,2020,01,06,27.5,1,Y
IDCJAC0010,023000,2020,01,07,32.3,1,Y
IDCJAC0010,023000,2020,01,08,35.3,1,Y
IDCJAC0010,023000,2020,01,09,42.1,1,Y
IDCJAC0010,023000,2020,01,10,22.6,1,Y
IDCJAC0010,023000,2020,01,11,25.1,1,Y
IDCJAC0010,023000,2020,01,12,30.2,1,Y
IDCJAC0010,023000,2020,01,13,34.1,1,Y
IDCJAC0010,023000,2020,01,14,32.5,1,Y
IDCJAC0010,023000,2020,01,15,26.5,1,Y
IDCJAC0010,023000,2020,01,16,23.6,1,Y
IDCJAC0010,023000,2020,01,17,24.0,1,Y
IDCJAC0010,023000,2020,01,18,26.1,1,Y
IDCJAC0010,023000,2020,01,19,22.2,1,Y
IDCJAC0010,023000,2020,01,20,20.1,1,Y
IDCJAC0010,023000,2020,01,21,27.4,1,Y
IDCJAC0010,023000,2020,01,22,25.9,1,Y
IDCJAC0010,023000,2020,01,23,20.9,1,Y
IDCJAC0010,023000,2020,01,24,23.7,1,Y
IDCJAC0010,023000,2020,01,25,25.7,1,Y
IDCJAC0010,023000,2020,01,26,26.6,1,Y
IDCJAC0010,023000,2020,01,27,27.1,1,Y
IDCJAC0010,023000,2020,01,28,30.8,1,Y
IDCJAC0010,023000,2020,01,29,38.8,1,Y
IDCJAC0010,023000,2020,01,30,43.3,1,Y
IDCJAC0010,023000,2020,01,31,35.6,1,Y
IDCJAC0010,023000,2020,02,01,22.0,1,N
IDCJAC0010,023000,2020,02,02,23.1,1,N
IDCJAC0010,023000,2020,02,03,21.8,1,N
IDCJAC0010,023000,2020,02,04,25.1,1,N
IDCJAC0010,023000,2020,02,05,27.5,1,N
IDCJAC0010,023000,2020,02,06,32.1,1,N
IDCJAC0010,023000,2020,02,07,28.8,1,N
IDCJAC0010,023000,2020,02,08,32.9,1,N
IDCJAC0010,023000,2020,02,09,32.2,1,N
IDCJAC0010,023000,2020,02,10,30.9,1,N
IDCJAC0010,023000,2020,02,11,27.1,1,Y
IDCJAC0010,023000,2020,02,12,25.4,1,N
IDCJAC0010,023000,2020,02,13,28.5,1,N
IDCJAC0010,023000,2020,02,14,23.4,1,N
IDCJAC0010,023000,2020,02,15,23.4,1,N
IDCJAC0010,023000,2020,02,16,26.4,1,N
IDCJAC0010,023000,2020,02,17,28.2,1,N
IDCJAC0010,023000,2020,02,18,23.0,1,N
IDCJAC0010,023000,2020,02,19,22.8,1,N
IDCJAC0010,023000,2020,02,20,22.9,1,N
IDCJAC0010,023000,2020,02,21,24.3,1,N
IDCJAC0010,023000,2020,02,22,26.9,1,N
IDCJAC0010,023000,2020,02,23,32.6,1,N
IDCJAC0010,023000,2020,02,24,32.9,1,N
IDCJAC0010,023000,2020,02,25,26.3,1,N
IDCJAC0010,023000,2020,02,26,24.0,1,N
IDCJAC0010,023000,2020,02,27,21.5,1,N
IDCJAC0010,023000,2020,02,28,22.9,1,N
IDCJAC0010,023000,2020,02,29,26.6,1,N
IDCJAC0010,023000,2020,03,01,28.9,1,Y
IDCJAC0010,023000,2020,03,02,22.0,1,Y
IDCJAC0010,023000,2020,03,03,20.3,1,Y
IDCJAC0010,023000,2020,03,04,26.3,1,Y
IDCJAC0010,023000,2020,03,05,21.2,1,Y
IDCJAC0010,023000,2020,03,06,23.5,1,Y
IDCJAC0010,023000,2020,03,07,25.5,1,Y
IDCJAC0010,023000,2020,03,08,25.9,1,Y
IDCJAC0010,023000,2020,03,09,25.7,1,Y
IDCJAC0010,023000,2020,03,10,29.8,1,Y
IDCJAC0010,023000,2020,03,11,32.7,1,Y
IDCJAC0010,023000,2020,03,12,32.0,1,Y
IDCJAC0010,023000,2020,03,13,22.7,1,Y
IDCJAC0010,023000,2020,03,14,20.9,1,Y
IDCJAC0010,023000,2020,03,15,24.1,1,Y
IDCJAC0010,023000,2020,03,16,29.0,1,Y
IDCJAC0010,023000,2020,03,17,32.6,1,Y
IDCJAC0010,023000,2020,03,18,34.1,1,Y
IDCJAC0010,023000,2020,03,19,32.3,1,Y
IDCJAC0010,023000,2020,03,20,22.8,1,Y
IDCJAC0010,023000,2020,03,21,22.6,1,Y
IDCJAC0010,023000,2020,03,22,22.6,1,Y
IDCJAC0010,023000,2020,03,23,23.2,1,Y
IDCJAC0010,023000,2020,03,24,19.7,1,Y
IDCJAC0010,023000,2020,03,25,21.7,1,Y
IDCJAC0010,023000,2020,03,26,22.5,1,Y
IDCJAC0010,023000,2020,03,27,27.9,1,Y
IDCJAC0010,023000,2020,03,28,30.5,1,Y
IDCJAC0010,023000,2020,03,29,23.9,1,Y
IDCJAC0010,023000,2020,03,30,22.9,1,Y
IDCJAC0010,023000,2020,03,31,23.1,1,Y
IDCJAC0010,023000,2020,04,01,22.7,1,Y
IDCJAC0010,023000,2020,04,02,25.4,1,Y
IDCJAC0010,023000,2020,04,03,24.8,1,Y
IDCJAC0010,023000,2020,04,04,18.3,1,Y
IDCJAC0010,023000,2020,04,05,20.3,1,Y
IDCJAC0010,023000,2020,04,06,20.6,1,Y
IDCJAC0010,023000,2020,04,07,20.5,1,Y
IDCJAC0010,023000,2020,04,08,20.8,1,Y
IDCJAC0010,023000,2020,04,09,20.8,1,Y
IDCJAC0010,023000,2020,04,10,22.8,1,Y
IDCJAC0010,023000,2020,04,11,20.1,1,Y
IDCJAC0010,023000,2020,04,12,18.6,1,Y
IDCJAC0010,023000,2020,04,13,23.5,1,Y
IDCJAC0010,023000,2020,04,14,29.5,1,Y
IDCJAC0010,023000,2020,04,15,28.6,1,Y
IDCJAC0010,023000,2020,04,16,20.1,1,Y
IDCJAC0010,023000,2020,04,17,20.6,1,Y
IDCJAC0010,023000,2020,04,18,18.9,1,Y
IDCJAC0010,023000,2020,04,19,22.1,1,Y
IDCJAC0010,023000,2020,04,20,19.6,1,Y
IDCJAC0010,023000,2020,04,21,23.7,1,Y
IDCJAC0010,023000,2020,04,22,22.8,1,Y
IDCJAC0010,023000,2020,04,23,20.4,1,Y
IDCJAC0010,023000,2020,04,24,21.7,1,Y
IDCJAC0010,023000,2020,04,25,24.0,1,Y
IDCJAC0010,023000,2020,04,26,19.4,1,Y
IDCJAC0010,023000,2020,04,27,20.1,1,Y
IDCJAC0010,023000,2020,04,28,20.2,1,Y
IDCJAC0010,023000,2020,04,29,16.5,1,Y
IDCJAC0010,023000,2020,04,30,15.1,1,Y
IDCJAC0010,023000,2020,05,01,17.3,1,N
IDCJAC0010,023000,2020,05,02,18.0,1,N
IDCJAC0010,023000,2020,05,03,15.7,1,N
IDCJAC0010,023000,2020,05,04,18.0,1,N
IDCJAC0010,023000,2020,05,05,19.8,1,N
IDCJAC0010,023000,2020,05,06,20.6,1,N
IDCJAC0010,023000,2020,05,07,20.8,1,N
IDCJAC0010,023000,2020,05,08,19.0,1,N
IDCJAC0010,023000,2020,05,09,15.9,1,N
IDCJAC0010,023000,2020,05,10,16.3,1,N
IDCJAC0010,023000,2020,05,11,17.6,1,N
IDCJAC0010,023000,2020,05,12,19.1,1,N
IDCJAC0010,023000,2020,05,13,15.2,1,N
IDCJAC0010,023000,2020,05,14,15.1,1,N
IDCJAC0010,023000,2020,05,15,16.4,1,N
IDCJAC0010,023000,2020,05,16,18.5,1,N
IDCJAC0010,023000,2020,05,17,20.7,1,N
IDCJAC0010,023000,2020,05,18,21.6,1,N
IDCJAC0010,023000,2020,05,19,22.2,1,N
IDCJAC0010,023000,2020,05,20,15.4,1,N
IDCJAC0010,023000,2020,05,21,14.4,1,Y
IDCJAC0010,023000,2020,05,22,15.9,1,N
IDCJAC0010,023000,2020,05,23,16.4,1,N
IDCJAC0010,023000,2020,05,24,14.0,1,N
IDCJAC0010,023000,2020,05,25,14.7,1,N
IDCJAC0010,023000,2020,05,26,16.6,1,N
IDCJAC0010,023000,2020,05,27,17.4,1,N
IDCJAC0010,023000,2020,05,28,17.0,1,N
IDCJAC0010,023000,2020,05,29,19.3,1,N
IDCJAC0010,023000,2020,05,30,19.5,1,N
IDCJAC0010,023000,2020,05,31,14.9,1,N
IDCJAC0010,023000,2020,06,01,14.5,1,Y
IDCJAC0010,023000,2020,06,02,16.7,1,Y
IDCJAC0010,023000,2020,06,03,15.8,1,Y
IDCJAC0010,023000,2020,06,04,16.4,1,Y
IDCJAC0010,023000,2020,06,05,16.1,1,Y
IDCJAC0010,023000,2020,06,06,14.4,1,Y
IDCJAC0010,023000,2020,06,07,13.3,1,Y
IDCJAC0010,023000,2020,06,08,14.3,1,Y
IDCJAC0010,023000,2020,06,09,14.7,1,Y
IDCJAC0010,023000,2020,06,10,15.1,1,Y
IDCJAC0010,023000,2020,06,11,17.4,1,Y
IDCJAC0010,023000,2020,06,12,20.0,1,Y
IDCJAC0010,023000,2020,06,13,15.8,1,Y
IDCJAC0010,023000,2020,06,14,15.3,1,Y
IDCJAC0010,023000,2020,06,15,17.9,1,Y
IDCJAC0010,023000,2020,06,16,16.4,1,Y
IDCJAC0010,023000,2020,06,17,17.1,1,Y
IDCJAC0010,023000,2020,06,18,18.8,1,Y
IDCJAC0010,023000,2020,06,19,16.4,1,Y
IDCJAC0010,023000,2020,06,20,14.8,1,Y
IDCJAC0010,023000,2020,06,21,14.6,1,Y
IDCJAC0010,023000,2020,06,22,14.5,1,Y
IDCJAC0010,023000,2020,06,23,13.8,1,Y
IDCJAC0010,023000,2020,06,24,14.6,1,Y
IDCJAC0010,023000,2020,06,25,16.7,1,Y
IDCJAC0010,023000,2020,06,26,15.9,1,Y
IDCJAC0010,023000,2020,06,27,16.9,1,Y
IDCJAC0010,023000,2020,06,28,16.7,1,Y
IDCJAC0010,023000,2020,06,29,14.7,1,Y
IDCJAC0010,023000,2020,06,30,15.8,1,Y
IDCJAC0010,023000,2020,07,01,20.2,1,Y
IDCJAC0010,023000,2020,07,02,14.2,1,N
IDCJAC0010,023000,2020,07,03,13.9,1,N
IDCJAC0010,023000,2020,07,04,15.2,1,N
IDCJAC0010,023000,2020,07,05,15.2,1,N
IDCJAC0010,023000,2020,07,06,14.9,1,N
IDCJAC0010,023000,2020,07,07,12.8,1,N
IDCJAC0010,023000,2020,07,08,15.1,1,N
IDCJAC0010,023000,2020,07,09,15.7,1,N
IDCJAC0010,023000,2020,07,10,15.4,1,N
IDCJAC0010,023000,2020,07,11,13.8,1,N
IDCJAC0010,023000,2020,07,12,16.0,1,N
IDCJAC0010,023000,2020,07,13,14.8,1,N
IDCJAC0010,023000,2020,07,14,12.2,1,N
IDCJAC0010,023000,2020,07,15,16.6,1,N
IDCJAC0010,023000,2020,07,16,17.7,1,N
IDCJAC0010,023000,2020,07,17,,,
IDCJAC0010,023000,2020,07,18,16.2,1,N
IDCJAC0010,023000,2020,07,19,15.2,1,N
IDCJAC0010,023000,2020,07,20,14.0,1,N
IDCJAC0010,023000,2020,07,21,13.7,1,N
IDCJAC0010,023000,2020,07,22,12.4,1,N
IDCJAC0010,023000,2020,07,23,15.3,1,N
IDCJAC0010,023000,2020,07,24,18.7,1,N
IDCJAC0010,023000,2020,07,25,17.2,1,N
IDCJAC0010,023000,2020,07,26,17.0,1,N
IDCJAC0010,023000,2020,07,27,15.9,1,N
IDCJAC0010,023000,2020,07,28,13.1,1,N
IDCJAC0010,023000,2020,07,29,16.9,1,N
IDCJAC0010,023000,2020,07,30,15.1,1,N
IDCJAC0010,023000,2020,07,31,,,
IDCJAC0010,023000,2020,08,01,20.2,1,N
IDCJAC0010,023000,2020,08,02,20.1,1,N
IDCJAC0010,023000,2020,08,03,15.2,1,N
IDCJAC0010,023000,2020,08,04,13.9,1,N
IDCJAC0010,023000,2020,08,05,14.4,1,N
IDCJAC0010,023000,2020,08,06,13.3,1,Y
IDCJAC0010,023000,2020,08,07,10.3,1,N
IDCJAC0010,023000,2020,08,08,13.5,1,N
IDCJAC0010,023000,2020,08,09,15.4,1,N
IDCJAC0010,023000,2020,08,10,17.3,1,N
IDCJAC0010,023000,2020,08,11,14.3,1,Y
IDCJAC0010,023000,2020,08,12,17.2,1,N
IDCJAC0010,023000,2020,08,13,17.2,1,N
IDCJAC0010,023000,2020,08,14,17.0,1,N
IDCJAC0010,023000,2020,08,15,15.6,1,N
IDCJAC0010,023000,2020,08,16,15.7,1,N
IDCJAC0010,023000,2020,08,17,17.5,1,N
IDCJAC0010,023000,2020,08,18,16.2,1,N
IDCJAC0010,023000,2020,08,19,15.3,1,N
IDCJAC0010,023000,2020,08,20,14.7,1,N
IDCJAC0010,023000,2020,08,21,12.8,1,N
IDCJAC0010,023000,2020,08,22,13.7,1,N
IDCJAC0010,023000,2020,08,23,13.7,1,N
IDCJAC0010,023000,2020,08,24,13.6,1,N
IDCJAC0010,023000,2020,08,25,15.5,1,N
IDCJAC0010,023000,2020,08,26,20.3,1,N
IDCJAC0010,023000,2020,08,27,18.2,1,N
IDCJAC0010,023000,2020,08,28,19.1,1,N
IDCJAC0010,023000,2020,08,29,24.5,1,N
IDCJAC0010,023000,2020,08,30,15.7,1,N
IDCJAC0010,023000,2020,08,31,15.1,1,N
IDCJAC0010,023000,2020,09,01,19.5,1,Y
IDCJAC0010,023000,2020,09,02,19.4,1,Y
IDCJAC0010,023000,2020,09,03,17.5,1,Y
IDCJAC0010,023000,2020,09,04,18.0,1,Y
IDCJAC0010,023000,2020,09,05,18.6,1,Y
IDCJAC0010,023000,2020,09,06,24.7,1,Y
IDCJAC0010,023000,2020,09,07,29.0,1,Y
IDCJAC0010,023000,2020,09,08,17.8,1,Y
IDCJAC0010,023000,2020,09,09,19.6,1,Y
IDCJAC0010,023000,2020,09,10,23.5,1,Y
IDCJAC0010,023000,2020,09,11,29.3,1,Y
IDCJAC0010,023000,2020,09,12,24.3,1,Y
