Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,023000,2020,01,01,11.8,1,Y
IDCJAC0011,023000,2020,01,02,13.6,1,Y
IDCJAC0011,023000,2020,01,03,21.2,1,Y
IDCJAC0011,023000,2020,01,04,19.8,1,Y
IDCJAC0011,023000,2020,01,05,11.5,1,Y
IDCJAC0011,023000,2020,01,06,13.3,1,Y
IDCJAC0011,023000,2020,01,07,14.7,1,Y
IDCJAC0011,023000,2020,01,08,22.3,1,Y
IDCJAC0011,023000,2020,01,09,22.6,1,Y
IDCJAC0011,023000,2020,01,10,22.6,1,Y
IDCJAC0011,023000,2020,01,11,12.7,1,Y
IDCJAC0011,023000,2020,01,12,11.9,1,Y
IDCJAC0011,023000,2020,01,13,16.1,1,Y
IDCJAC0011,023000,2020,01,14,18.2,1,Y
IDCJAC0011,023000,2020,01,15,17.4,1,Y
IDCJAC0011,023000,2020,01,16,16.2,1,Y
IDCJAC0011,023000,2020,01,17,12.3,1,Y
IDCJAC0011,023000,2020,01,18,12.7,1,Y
IDCJAC0011,023000,2020,01,19,16.0,1,Y
IDCJAC0011,023000,2020,01,20,15.1,1,Y
IDCJAC0011,023000,2020,01,21,15.4,1,Y
IDCJAC0011,023000,2020,01,22,17.2,1,Y
IDCJAC0011,023000,2020,01,23,14.1,1,Y
IDCJAC0011,023000,2020,01,24,16.0,1,Y
IDCJAC0011,023000,2020,01,25,16.1,1,Y
IDCJAC0011,023000,2020,01,26,15.9,1,Y
IDCJAC0011,023000,2020,01,27,15.0,1,Y
IDCJAC0011,023000,2020,01,28,12.7,1,Y
IDCJAC0011,023000,2020,01,29,15.1,1,Y
IDCJAC0011,023000,2020,01,30,23.1,1,Y
IDCJAC0011,023000,2020,01,31,29.0,1,Y
IDCJAC0011,023000,2020,02,01,20.9,1,N
IDCJAC0011,023000,2020,02,02,16.7,1,N
IDCJAC0011,023000,2020,02,03,15.8,1,N
IDCJAC0011,023000,2020,02,04,13.5,1,N
IDCJAC0011,023000,2020,02,05,13.2,1,N
IDCJAC0011,023000,2020,02,06,14.0,1,N
IDCJAC0011,023000,2020,02,07,19.5,1,N
IDCJAC0011,023000,2020,02,08,22.5,1,N
IDCJAC0011,023000,2020,02,09,23.2,1,N
IDCJAC0011,023000,2020,02,10,20.1,1,N
IDCJAC0011,023000,2020,02,11,17.9,1,N
IDCJAC0011,023000,2020,02,12,17.7,1,Y
IDCJAC0011,023000,2020,02,13,17.3,1,N
IDCJAC0011,023000,2020,02,14,19.3,1,N
IDCJAC0011,023000,2020,02,15,17.2,1,N
IDCJAC0011,023000,2020,02,16,13.5,1,N
IDCJAC0011,023000,2020,02,17,12.7,1,N
IDCJAC0011,023000,2020,02,18,17.7,1,N
IDCJAC0011,023000,2020,02,19,15.2,1,N
IDCJAC0011,023000,2020,02,20,11.8,1,N
IDCJAC0011,023000,2020,02,21,13.1,1,N
IDCJAC0011,023000,2020,02,22,13.4,1,N
IDCJAC0011,023000,2020,02,23,13.7,1,N
IDCJAC0011,023000,2020,02,24,20.1,1,N
IDCJAC0011,023000,2020,02,25,17.4,1,N
IDCJAC0011,023000,2020,02,26,16.4,1,N
IDCJAC0011,023000,2020,02,27,12.0,1,N
IDCJAC0011,023000,2020,02,28,15.4,1,N
IDCJAC0011,023000,2020,02,29,12.5,1,N
IDCJAC0011,023000,2020,03,01,15.5,1,Y
IDCJAC0011,023000,2020,03,02,14.2,1,Y
IDCJAC0011,023000,2020,03,03,13.2,1,Y
IDCJAC0011,023000,2020,03,04,14.1,1,Y
IDCJAC0011,023000,2020,03,05,13.9,1,Y
IDCJAC0011,023000,2020,03,06,15.1,1,Y
IDCJAC0011,023000,2020,03,07,14.4,1,Y
IDCJAC0011,023000,2020,03,08,14.9,1,Y
IDCJAC0011,023000,2020,03,09,15.4,1,Y
IDCJAC0011,023000,2020,03,10,14.5,1,Y
IDCJAC0011,023000,2020,03,11,16.3,1,Y
IDCJAC0011,023000,2020,03,12,22.7,1,Y
IDCJAC0011,023000,2020,03,13,19.3,1,Y
IDCJAC0011,023000,2020,03,14,11.7,1,Y
IDCJAC0011,023000,2020,03,15,10.0,1,Y
IDCJAC0011,023000,2020,03,16,13.0,1,Y
IDCJAC0011,023000,2020,03,17,19.0,1,Y
IDCJAC0011,023000,2020,03,18,22.5,1,Y
IDCJAC0011,023000,2020,03,19,25.6,1,Y
IDCJAC0011,023000,2020,03,20,16.6,1,Y
IDCJAC0011,023000,2020,03,21,11.1,1,Y
IDCJAC0011,023000,2020,03,22,13.2,1,Y
IDCJAC0011,023000,2020,03,23,12.8,1,Y
IDCJAC0011,023000,2020,03,24,14.6,1,Y
IDCJAC0011,023000,2020,03,25,13.0,1,Y
IDCJAC0011,023000,2020,03,26,10.4,1,Y
IDCJAC0011,023000,2020,03,27,10.0,1,Y
IDCJAC0011,023000,2020,03,28,14.9,1,Y
IDCJAC0011,023000,2020,03,29,18.5,1,Y
IDCJAC0011,023000,2020,03,30,16.1,1,Y
IDCJAC0011,023000,2020,03,31,12.8,1,Y
IDCJAC0011,023000,2020,04,01,16.6,1,Y
IDCJAC0011,023000,2020,04,02,11.5,1,Y
IDCJAC0011,023000,2020,04,03,14.2,1,Y
IDCJAC0011,023000,2020,04,04,12.7,1,Y
IDCJAC0011,023000,2020,04,05,13.4,1,Y
IDCJAC0011,023000,2020,04,06,11.4,1,Y
IDCJAC0011,023000,2020,04,07,14.3,1,Y
IDCJAC0011,023000,2020,04,08,11.2,1,Y
IDCJAC0011,023000,2020,04,09,9.7,1,Y
IDCJAC0011,023000,2020,04,10,12.5,1,Y
IDCJAC0011,023000,2020,04,11,15.3,1,Y
IDCJAC0011,023000,2020,04,12,9.5,1,Y
IDCJAC0011,023000,2020,04,13,7.9,1,Y
IDCJAC0011,023000,2020,04,14,14.3,1,Y
IDCJAC0011,023000,2020,04,15,18.4,1,Y
IDCJAC0011,023000,2020,04,16,16.0,1,Y
IDCJAC0011,023000,2020,04,17,13.7,1,Y
IDCJAC0011,023000,2020,04,18,11.9,1,Y
IDCJAC0011,023000,2020,04,19,10.4,1,Y
IDCJAC0011,023000,2020,04,20,13.8,1,Y
IDCJAC0011,023000,2020,04,21,12.6,1,Y
IDCJAC0011,023000,2020,04,22,12.3,1,Y
IDCJAC0011,023000,2020,04,23,13.3,1,Y
IDCJAC0011,023000,2020,04,24,12.7,1,Y
IDCJAC0011,023000,2020,04,25,12.9,1,Y
IDCJAC0011,023000,2020,04,26,15.8,1,Y
IDCJAC0011,023000,2020,04,27,11.1,1,Y
IDCJAC0011,023000,2020,04,28,13.8,1,Y
IDCJAC0011,023000,2020,04,29,11.5,1,Y
IDCJAC0011,023000,2020,04,30,8.5,1,Y
IDCJAC0011,023000,2020,05,01,10.7,1,N
IDCJAC0011,023000,2020,05,02,12.8,1,N
IDCJAC0011,023000,2020,05,03,9.8,1,N
IDCJAC0011,023000,2020,05,04,10.0,1,N
IDCJAC0011,023000,2020,05,05,9.0,1,N
IDCJAC0011,023000,2020,05,06,11.9,1,N
IDCJAC0011,023000,2020,05,07,15.0,1,N
IDCJAC0011,023000,2020,05,08,12.2,1,N
IDCJAC0011,023000,2020,05,09,9.8,1,N
IDCJAC0011,023000,2020,05,10,8.5,1,N
IDCJAC0011,023000,2020,05,11,8.5,1,N
IDCJAC0011,023000,2020,05,12,10.6,1,N
IDCJAC0011,023000,2020,05,13,7.4,1,N
IDCJAC0011,023000,2020,05,14,9.7,1,N
IDCJAC0011,023000,2020,05,15,6.9,1,N
IDCJAC0011,023000,2020,05,16,4.3,1,N
IDCJAC0011,023000,2020,05,17,5.3,1,N
IDCJAC0011,023000,2020,05,18,10.7,1,N
IDCJAC0011,023000,2020,05,19,14.8,1,N
IDCJAC0011,023000,2020,05,20,11.7,1,N
IDCJAC0011,023000,2020,05,21,5.9,1,N
IDCJAC0011,023000,2020,05,22,9.5,1,Y
IDCJAC0011,023000,2020,05,23,9.6,1,N
IDCJAC0011,023000,2020,05,24,10.3,1,N
IDCJAC0011,023000,2020,05,25,4.5,1,N
IDCJAC0011,023000,2020,05,26,8.5,1,N
IDCJAC0011,023000,2020,05,27,10.8,1,N
IDCJAC0011,023000,2020,05,28,10.2,1,N
IDCJAC0011,023000,2020,05,29,7.8,1,N
IDCJAC0011,023000,2020,05,30,12.5,1,N
IDCJAC0011,023000,2020,05,31,10.4,1,N
IDCJAC0011,023000,2020,06,01,9.6,1,Y
IDCJAC0011,023000,2020,06,02,9.8,1,Y
IDCJAC0011,023000,2020,06,03,11.6,1,Y
IDCJAC0011,023000,2020,06,04,3.6,1,Y
IDCJAC0011,023000,2020,06,05,3.7,1,Y
IDCJAC0011,023000,2020,06,06,4.9,1,Y
IDCJAC0011,023000,2020,06,07,4.2,1,Y
IDCJAC0011,023000,2020,06,08,1.7,1,Y
IDCJAC0011,023000,2020,06,09,1.7,1,Y
IDCJAC0011,023000,2020,06,10,0.9,1,Y
IDCJAC0011,023000,2020,06,11,1.3,1,Y
IDCJAC0011,023000,2020,06,12,6.8,1,Y
IDCJAC0011,023000,2020,06,13,12.6,1,Y
IDCJAC0011,023000,2020,06,14,8.7,1,Y
IDCJAC0011,023000,2020,06,15,9.6,1,Y
IDCJAC0011,023000,2020,06,16,12.5,1,Y
IDCJAC0011,023000,2020,06,17,9.2,1,Y
IDCJAC0011,023000,2020,06,18,11.9,1,Y
IDCJAC0011,023000,2020,06,19,13.0,1,Y
IDCJAC0011,023000,2020,06,20,9.7,1,Y
IDCJAC0011,023000,2020,06,21,9.6,1,Y
IDCJAC0011,023000,2020,06,22,8.6,1,Y
IDCJAC0011,023000,2020,06,23,11.0,1,Y
IDCJAC0011,023000,2020,06,24,10.4,1,Y
IDCJAC0011,023000,2020,06,25,8.9,1,Y
IDCJAC0011,023000,2020,06,26,8.4,1,Y
