Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,040913,2020,01,01,22.1,1,N
IDCJAC0011,040913,2020,01,02,21.8,1,N
IDCJAC0011,040913,2020,01,03,20.9,1,N
IDCJAC0011,040913,2020,01,04,21.4,1,N
IDCJAC0011,040913,2020,01,05,21.9,1,N
IDCJAC0011,040913,2020,01,06,22.7,1,N
IDCJAC0011,040913,2020,01,07,23.4,1,N
IDCJAC0011,040913,2020,01,08,22.2,1,Y
IDCJAC0011,040913,2020,01,09,23.4,1,N
IDCJAC0011,040913,2020,01,10,23.9,1,N
IDCJAC0011,040913,2020,01,11,24.1,1,N
IDCJAC0011,040913,2020,01,12,23.3,1,N
IDCJAC0011,040913,2020,01,13,22.6,1,N
IDCJAC0011,040913,2020,01,14,21.3,1,N
IDCJAC0011,040913,2020,01,15,22.1,1,N
IDCJAC0011,040913,2020,01,16,22.4,1,N
IDCJAC0011,040913,2020,01,17,22.3,1,N
IDCJAC0011,040913,2020,01,18,20.7,1,N
IDCJAC0011,040913,2020,01,19,22.6,1,N
IDCJAC0011,040913,2020,01,20,25.3,1,N
IDCJAC0011,040913,2020,01,21,25.5,1,N
IDCJAC0011,040913,2020,01,22,23.4,1,N
IDCJAC0011,040913,2020,01,23,26.7,1,N
IDCJAC0011,040913,2020,01,24,25.5,1,N
IDCJAC0011,040913,2020,01,25,26.0,1,N
IDCJAC0011,040913,2020,01,26,23.1,1,N
IDCJAC0011,040913,2020,01,27,22.6,1,N
IDCJAC0011,040913,2020,01,28,23.4,1,N
IDCJAC0011,040913,2020,01,29,24.1,1,N
IDCJAC0011,040913,2020,01,30,23.8,1,N
IDCJAC0011,040913,2020,01,31,22.8,1,N
IDCJAC0011,040913,2020,02,01,22.5,1,Y
IDCJAC0011,040913,2020,02,02,21.6,1,Y
IDCJAC0011,040913,2020,02,03,23.4,1,Y
IDCJAC0011,040913,2020,02,04,23.8,1,Y
IDCJAC0011,040913,2020,02,05,20.7,1,Y
IDCJAC0011,040913,2020,02,06,19.9,1,Y
