Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,070351,2020,01,01,33.2,1,Y
IDCJAC0010,070351,2020,01,02,33.2,1,Y
IDCJAC0010,070351,2020,01,03,37.8,1,Y
IDCJAC0010,070351,2020,01,04,44.0,1,Y
IDCJAC0010,070351,2020,01,05,21.7,1,Y
IDCJAC0010,070351,2020,01,06,21.5,1,Y
IDCJAC0010,070351,2020,01,07,35.0,1,Y
IDCJAC0010,070351,2020,01,08,34.9,1,Y
IDCJAC0010,070351,2020,01,09,26.1,1,Y
IDCJAC0010,070351,2020,01,10,39.4,1,Y
IDCJAC0010,070351,2020,01,11,28.3,1,Y
IDCJAC0010,070351,2020,01,12,22.1,1,Y
IDCJAC0010,070351,2020,01,13,26.9,1,Y
IDCJAC0010,070351,2020,01,14,32.1,1,Y
IDCJAC0010,070351,2020,01,15,33.2,1,Y
IDCJAC0010,070351,2020,01,16,29.3,1,Y
IDCJAC0010,070351,2020,01,17,24.8,1,Y
IDCJAC0010,070351,2020,01,18,25.3,1,Y
IDCJAC0010,070351,2020,01,19,31.3,1,Y
IDCJAC0010,070351,2020,01,20,27.9,1,Y
IDCJAC0010,070351,2020,01,21,27.6,1,Y
IDCJAC0010,070351,2020,01,22,34.3,1,Y
IDCJAC0010,070351,2020,01,23,34.9,1,Y
IDCJAC0010,070351,2020,01,24,28.8,1,Y
IDCJAC0010,070351,2020,01,25,33.7,1,Y
IDCJAC0010,070351,2020,01,26,34.7,1,Y
IDCJAC0010,070351,2020,01,27,35.9,1,Y
IDCJAC0010,070351,2020,01,28,34.4,1,Y
IDCJAC0010,070351,2020,01,29,32.0,1,Y
IDCJAC0010,070351,2020,01,30,37.3,1,Y
IDCJAC0010,070351,2020,01,31,41.9,1,Y
IDCJAC0010,070351,2020,02,01,42.7,1,N
IDCJAC0010,070351,2020,02,02,33.7,1,N
IDCJAC0010,070351,2020,02,03,29.2,1,N
IDCJAC0010,070351,2020,02,04,25.3,1,N
IDCJAC0010,070351,2020,02,05,29.1,1,N
IDCJAC0010,070351,2020,02,06,25.4,1,N
IDCJAC0010,070351,2020,02,07,23.7,1,N
IDCJAC0010,070351,2020,02,08,23.9,1,N
IDCJAC0010,070351,2020,02,09,18.4,1,N
IDCJAC0010,070351,2020,02,10,27.6,1,N
IDCJAC0010,070351,2020,02,11,28.7,1,N
IDCJAC0010,070351,2020,02,12,28.2,1,N
IDCJAC0010,070351,2020,02,13,27.4,1,N
IDCJAC0010,070351,2020,02,14,29.2,1,N
IDCJAC0010,070351,2020,02,15,29.8,1,N
IDCJAC0010,070351,2020,02,16,26.0,1,N
IDCJAC0010,070351,2020,02,17,26.3,1,N
IDCJAC0010,070351,2020,02,18,31.2,1,N
IDCJAC0010,070351,2020,02,19,21.1,1,N
IDCJAC0010,070351,2020,02,20,25.4,1,N
IDCJAC0010,070351,2020,02,21,26.5,1,N
IDCJAC0010,070351,2020,02,22,26.3,1,N
IDCJAC0010,070351,2020,02,23,26.5,1,N
IDCJAC0010,070351,2020,02,24,29.7,1,N
IDCJAC0010,070351,2020,02,25,30.6,1,N
IDCJAC0010,070351,2020,02,26,29.8,1,N
IDCJAC0010,070351,2020,02,27,26.2,1,N
IDCJAC0010,070351,2020,02,28,28.3,1,N
IDCJAC0010,070351,2020,02,29,26.7,1,N
IDCJAC0010,070351,2020,03,01,31.0,1,Y
IDCJAC0010,070351,2020,03,02,31.1,1,Y
IDCJAC0010,070351,2020,03,03,19.0,1,Y
IDCJAC0010,070351,2020,03,04,19.0,1,Y
IDCJAC0010,070351,2020,03,05,19.6,1,Y
IDCJAC0010,070351,2020,03,06,25.5,1,Y
