Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,014015,2020,01,01,34.4,1,N
IDCJAC0010,014015,2020,01,02,34.5,1,N
IDCJAC0010,014015,2020,01,03,34.7,1,N
IDCJAC0010,014015,2020,01,04,35.0,1,N
IDCJAC0010,014015,2020,01,05,34.6,1,N
IDCJAC0010,014015,2020,01,06,34.6,1,N
IDCJAC0010,014015,2020,01,07,34.1,1,N
IDCJAC0010,014015,2020,01,08,32.4,1,N
IDCJAC0010,014015,2020,01,09,31.2,1,N
IDCJAC0010,014015,2020,01,10,27.2,1,N
IDCJAC0010,014015,2020,01,11,30.1,1,N
IDCJAC0010,014015,2020,01,12,33.9,1,N
IDCJAC0010,014015,2020,01,13,33.6,1,N
IDCJAC0010,014015,2020,01,14,33.6,1,N
IDCJAC0010,014015,2020,01,15,34.8,1,N
IDCJAC0010,014015,2020,01,16,34.2,1,N
IDCJAC0010,014015,2020,01,17,31.4,1,N
IDCJAC0010,014015,2020,01,18,34.1,1,N
IDCJAC0010,014015,2020,01,19,31.3,1,N
IDCJAC0010,014015,2020,01,20,30.2,1,N
IDCJAC0010,014015,2020,01,21,29.9,1,N
IDCJAC0010,014015,2020,01,22,28.4,1,N
IDCJAC0010,014015,2020,01,23,32.8,1,N
IDCJAC0010,014015,2020,01,24,33.2,1,N
IDCJAC0010,014015,2020,01,25,33.2,1,N
IDCJAC0010,014015,2020,01,26,33.8,1,N
IDCJAC0010,014015,2020,01,27,33.9,1,N
IDCJAC0010,014015,2020,01,28,34.0,1,N
IDCJAC0010,014015,2020,01,29,32.1,1,N
IDCJAC0010,014015,2020,01,30,33.3,1,N
IDCJAC0010,014015,2020,01,31,33.4,1,N
IDCJAC0010,014015,2020,02,01,33.5,1,N
IDCJAC0010,014015,2020,02,02,33.3,1,N
IDCJAC0010,014015,2020,02,03,32.7,1,N
IDCJAC0010,014015,2020,02,04,32.2,1,N
IDCJAC0010,014015,2020,02,05,33.0,1,N
IDCJAC0010,014015,2020,02,06,34.4,1,N
IDCJAC0010,014015,2020,02,07,34.2,1,N
IDCJAC0010,014015,2020,02,08,34.5,1,N
IDCJAC0010,014015,2020,02,09,34.1,1,N
IDCJAC0010,014015,2020,02,10,34.3,1,N
IDCJAC0010,014015,2020,02,11,30.6,1,N
IDCJAC0010,014015,2020,02,12,34.2,1,N
IDCJAC0010,014015,2020,02,13,34.8,1,N
IDCJAC0010,014015,2020,02,14,34.2,1,N
IDCJAC0010,014015,2020,02,15,34.6,1,N
IDCJAC0010,014015,2020,02,16,33.1,1,N
IDCJAC0010,014015,2020,02,17,34.5,1,N
IDCJAC0010,014015,2020,02,18,34.3,1,N
IDCJAC0010,014015,2020,02,19,34.3,1,N
IDCJAC0010,014015,2020,02,20,32.1,1,N
IDCJAC0010,014015,2020,02,21,32.6,1,N
IDCJAC0010,014015,2020,02,22,34.1,1,N
IDCJAC0010,014015,2020,02,23,33.7,1,N
IDCJAC0010,014015,2020,02,24,33.8,1,N
IDCJAC0010,014015,2020,02,25,33.7,1,N
IDCJAC0010,014015,2020,02,26,32.9,1,N
IDCJAC0010,014015,2020,02,27,31.0,1,N
IDCJAC0010,014015,2020,02,28,30.7,1,N
IDCJAC0010,014015,2020,02,29,32.4,1,N
IDCJAC0010,014015,2020,03,01,33.1,1,N
IDCJAC0010,014015,2020,03,02,32.5,1,N
IDCJAC0010,014015,2020,03,03,31.4,1,N
IDCJAC0010,014015,2020,03,04,33.0,1,N
IDCJAC0010,014015,2020,03,05,32.8,1,N
IDCJAC0010,014015,2020,03,06,33.4,1,N
IDCJAC0010,014015,2020,03,07,32.7,1,N
IDCJAC0010,014015,2020,03,08,31.2,1,N
IDCJAC0010,014015,2020,03,09,27.0,1,N
IDCJAC0010,014015,2020,03,10,32.1,1,N
IDCJAC0010,014015,2020,03,11,33.4,1,N
IDCJAC0010,014015,2020,03,12,33.2,1,N
IDCJAC0010,014015,2020,03,13,33.5,1,N
IDCJAC0010,014015,2020,03,14,34.0,1,N
IDCJAC0010,014015,2020,03,15,33.2,1,N
IDCJAC0010,014015,2020,03,16,34.3,1,N
IDCJAC0010,014015,2020,03,17,33.9,1,N
IDCJAC0010,014015,2020,03,18,33.0,1,N
IDCJAC0010,014015,2020,03,19,33.9,1,N
IDCJAC0010,014015,2020,03,20,34.1,1,N
IDCJAC0010,014015,2020,03,21,34.9,1,N
IDCJAC0010,014015,2020,03,22,34.8,1,N
IDCJAC0010,014015,2020,03,23,33.9,1,N
IDCJAC0010,014015,2020,03,24,31.8,1,N
IDCJAC0010,014015,2020,03,25,32.0,1,N
IDCJAC0010,014015,2020,03,26,32.7,1,N
IDCJAC0010,014015,2020,03,27,33.7,1,N
IDCJAC0010,014015,2020,03,28,35.1,1,N
IDCJAC0010,014015,2020,03,29,34.6,1,N
IDCJAC0010,014015,2020,03,30,35.9,1,N
IDCJAC0010,014015,2020,03,31,33.4,1,N
IDCJAC0010,014015,2020,04,01,34.0,1,N
IDCJAC0010,014015,2020,04,02,33.5,1,N
IDCJAC0010,014015,2020,04,03,33.2,1,N
IDCJAC0010,014015,2020,04,04,33.7,1,N
IDCJAC0010,014015,2020,04,05,29.3,1,N
IDCJAC0010,014015,2020,04,06,33.9,1,N
IDCJAC0010,014015,2020,04,07,34.1,1,N
IDCJAC0010,014015,2020,04,08,33.6,1,N
IDCJAC0010,014015,2020,04,09,31.1,1,N
IDCJAC0010,014015,2020,04,10,31.9,1,N
IDCJAC0010,014015,2020,04,11,29.2,1,N
IDCJAC0010,014015,2020,04,12,32.9,1,N
IDCJAC0010,014015,2020,04,13,34.1,1,N
IDCJAC0010,014015,2020,04,14,34.1,1,N
IDCJAC0010,014015,2020,04,15,34.2,1,N
