Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,014015,2020,01,01,23.6,1,N
IDCJAC0011,014015,2020,01,02,25.9,1,N
IDCJAC0011,014015,2020,01,03,26.3,1,N
IDCJAC0011,014015,2020,01,04,26.6,1,N
IDCJAC0011,014015,2020,01,05,26.7,1,N
IDCJAC0011,014015,2020,01,06,26.3,1,N
IDCJAC0011,014015,2020,01,07,25.3,1,N
IDCJAC0011,014015,2020,01,08,27.4,1,N
IDCJAC0011,014015,2020,01,09,26.8,1,N
IDCJAC0011,014015,2020,01,10,25.1,1,N
IDCJAC0011,014015,2020,01,11,24.6,1,N
IDCJAC0011,014015,2020,01,12,25.3,1,N
IDCJAC0011,014015,2020,01,13,25.3,1,N
IDCJAC0011,014015,2020,01,14,25.2,1,N
IDCJAC0011,014015,2020,01,15,26.3,1,N
IDCJAC0011,014015,2020,01,16,28.7,1,N
IDCJAC0011,014015,2020,01,17,26.2,1,N
IDCJAC0011,014015,2020,01,18,23.9,1,N
IDCJAC0011,014015,2020,01,19,28.7,1,N
IDCJAC0011,014015,2020,01,20,24.8,1,N
IDCJAC0011,014015,2020,01,21,22.7,1,N
IDCJAC0011,014015,2020,01,22,23.2,1,N
IDCJAC0011,014015,2020,01,23,22.7,1,N
IDCJAC0011,014015,2020,01,24,27.1,1,N
IDCJAC0011,014015,2020,01,25,28.5,1,N
IDCJAC0011,014015,2020,01,26,28.0,1,N
IDCJAC0011,014015,2020,01,27,28.5,1,N
IDCJAC0011,014015,2020,01,28,29.0,1,N
IDCJAC0011,014015,2020,01,29,26.4,1,N
IDCJAC0011,014015,2020,01,30,22.5,1,N
IDCJAC0011,014015,2020,01,31,27.5,1,N
IDCJAC0011,014015,2020,02,01,28.5,1,N
IDCJAC0011,014015,2020,02,02,29.2,1,N
IDCJAC0011,014015,2020,02,03,27.8,1,N
IDCJAC0011,014015,2020,02,04,25.7,1,N
IDCJAC0011,014015,2020,02,05,26.2,1,N
IDCJAC0011,014015,2020,02,06,26.6,1,N
IDCJAC0011,014015,2020,02,07,28.3,1,N
IDCJAC0011,014015,2020,02,08,26.8,1,N
IDCJAC0011,014015,2020,02,09,29.0,1,N
IDCJAC0011,014015,2020,02,10,26.4,1,N
IDCJAC0011,014015,2020,02,11,24.0,1,N
IDCJAC0011,014015,2020,02,12,27.3,1,N
IDCJAC0011,014015,2020,02,13,28.9,1,N
IDCJAC0011,014015,2020,02,14,28.7,1,N
IDCJAC0011,014015,2020,02,15,28.8,1,N
IDCJAC0011,014015,2020,02,16,24.8,1,N
IDCJAC0011,014015,2020,02,17,28.5,1,N
IDCJAC0011,014015,2020,02,18,26.6,1,N
IDCJAC0011,014015,2020,02,19,23.8,1,N
IDCJAC0011,014015,2020,02,20,21.9,1,N
IDCJAC0011,014015,2020,02,21,23.5,1,N
IDCJAC0011,014015,2020,02,22,24.5,1,N
IDCJAC0011,014015,2020,02,23,29.0,1,N
IDCJAC0011,014015,2020,02,24,28.7,1,N
IDCJAC0011,014015,2020,02,25,28.6,1,N
IDCJAC0011,014015,2020,02,26,29.7,1,N
IDCJAC0011,014015,2020,02,27,24.3,1,N
IDCJAC0011,014015,2020,02,28,24.0,1,N
IDCJAC0011,014015,2020,02,29,26.2,1,N
IDCJAC0011,014015,2020,03,01,25.9,1,N
IDCJAC0011,014015,2020,03,02,25.8,1,N
IDCJAC0011,014015,2020,03,03,26.1,1,N
IDCJAC0011,014015,2020,03,04,26.0,1,N
IDCJAC0011,014015,2020,03,05,26.5,1,N
IDCJAC0011,014015,2020,03,06,26.5,1,N
IDCJAC0011,014015,2020,03,07,24.4,1,N
IDCJAC0011,014015,2020,03,08,25.1,1,N
IDCJAC0011,014015,2020,03,09,23.9,1,N
IDCJAC0011,014015,2020,03,10,23.2,1,N
IDCJAC0011,014015,2020,03,11,25.4,1,N
IDCJAC0011,014015,2020,03,12,25.7,1,N
IDCJAC0011,014015,2020,03,13,26.8,1,N
IDCJAC0011,014015,2020,03,14,27.7,1,N
IDCJAC0011,014015,2020,03,15,22.6,1,N
IDCJAC0011,014015,2020,03,16,24.2,1,N
IDCJAC0011,014015,2020,03,17,25.7,1,N
IDCJAC0011,014015,2020,03,18,25.6,1,N
IDCJAC0011,014015,2020,03,19,24.5,1,N
IDCJAC0011,014015,2020,03,20,26.0,1,N
IDCJAC0011,014015,2020,03,21,26.1,1,N
IDCJAC0011,014015,2020,03,22,24.0,1,N
IDCJAC0011,014015,2020,03,23,26.6,1,N
IDCJAC0011,014015,2020,03,24,26.5,1,N
IDCJAC0011,014015,2020,03,25,24.2,1,N
IDCJAC0011,014015,2020,03,26,24.1,1,N
IDCJAC0011,014015,2020,03,27,25.9,1,N
IDCJAC0011,014015,2020,03,28,24.9,1,N
IDCJAC0011,014015,2020,03,29,25.4,1,N
IDCJAC0011,014015,2020,03,30,26.4,1,N
IDCJAC0011,014015,2020,03,31,25.3,1,N
IDCJAC0011,014015,2020,04,01,25.4,1,N
IDCJAC0011,014015,2020,04,02,26.9,1,N
IDCJAC0011,014015,2020,04,03,25.7,1,N
IDCJAC0011,014015,2020,04,04,26.7,1,N
IDCJAC0011,014015,2020,04,05,24.7,1,N
IDCJAC0011,014015,2020,04,06,24.7,1,N
IDCJAC0011,014015,2020,04,07,24.4,1,N
IDCJAC0011,014015,2020,04,08,25.4,1,N
IDCJAC0011,014015,2020,04,09,23.4,1,N
IDCJAC0011,014015,2020,04,10,24.5,1,N
IDCJAC0011,014015,2020,04,11,20.5,1,N
IDCJAC0011,014015,2020,04,12,23.8,1,N
IDCJAC0011,014015,2020,04,13,23.8,1,N
IDCJAC0011,014015,2020,04,14,25.9,1,N
IDCJAC0011,014015,2020,04,15,25.8,1,N
IDCJAC0011,014015,2020,04,16,25.9,1,N
IDCJAC0011,014015,2020,04,17,25.8,1,N
IDCJAC0011,014015,2020,04,18,25.5,1,N
IDCJAC0011,014015,2020,04,19,23.7,1,N
IDCJAC0011,014015,2020,04,20,25.9,1,N
IDCJAC0011,014015,2020,04,21,26.5,1,N
IDCJAC0011,014015,2020,04,22,25.7,1,N
IDCJAC0011,014015,2020,04,23,25.5,1,N
IDCJAC0011,014015,2020,04,24,24.2,1,N
IDCJAC0011,014015,2020,04,25,25.7,1,N
IDCJAC0011,014015,2020,04,26,25.4,1,N
IDCJAC0011,014015,2020,04,27,25.1,1,N
IDCJAC0011,014015,2020,04,28,24.6,1,N
IDCJAC0011,014015,2020,04,29,25.0,1,N
IDCJAC0011,014015,2020,04,30,25.6,1,N
IDCJAC0011,014015,2020,05,01,25.5,1,N
IDCJAC0011,014015,2020,05,02,21.6,1,N
IDCJAC0011,014015,2020,05,03,21.4,1,N
IDCJAC0011,014015,2020,05,04,22.1,1,N
IDCJAC0011,014015,2020,05,05,24.3,1,N
IDCJAC0011,014015,2020,05,06,23.4,1,N
IDCJAC0011,014015,2020,05,07,21.0,1,N
IDCJAC0011,014015,2020,05,08,22.5,1,N
IDCJAC0011,014015,2020,05,09,24.0,1,N
IDCJAC0011,014015,2020,05,10,23.5,1,N
IDCJAC0011,014015,2020,05,11,24.4,1,N
IDCJAC0011,014015,2020,05,12,22.9,1,N
IDCJAC0011,014015,2020,05,13,24.1,1,N
IDCJAC0011,014015,2020,05,14,24.8,1,N
IDCJAC0011,014015,2020,05,15,25.0,1,N
IDCJAC0011,014015,2020,05,16,24.1,1,N
IDCJAC0011,014015,2020,05,17,24.9,1,N
IDCJAC0011,014015,2020,05,18,23.7,1,N
IDCJAC0011,014015,2020,05,19,23.6,1,N
IDCJAC0011,014015,2020,05,20,24.0,1,N
IDCJAC0011,014015,2020,05,21,25.4,1,N
IDCJAC0011,014015,2020,05,22,19.8,1,N
IDCJAC0011,014015,2020,05,23,19.3,1,N
IDCJAC0011,014015,2020,05,24,18.6,1,N
IDCJAC0011,014015,2020,05,25,18.9,1,N
IDCJAC0011,014015,2020,05,26,18.3,1,N
IDCJAC0011,014015,2020,05,27,21.1,1,N
IDCJAC0011,014015,2020,05,28,20.8,1,N
IDCJAC0011,014015,2020,05,29,19.9,1,N
IDCJAC0011,014015,2020,05,30,19.9,1,N
IDCJAC0011,014015,2020,05,31,21.0,1,N
IDCJAC0011,014015,2020,06,01,21.8,1,N
IDCJAC0011,014015,2020,06,02,22.4,1,N
IDCJAC0011,014015,2020,06,03,19.5,1,N
IDCJAC0011,014015,2020,06,04,20.0,1,N
IDCJAC0011,014015,2020,06,05,17.1,1,N
IDCJAC0011,014015,2020,06,06,17.5,1,N
IDCJAC0011,014015,2020,06,07,21.2,1,N
IDCJAC0011,014015,2020,06,08,22.9,1,N
IDCJAC0011,014015,2020,06,09,22.5,1,N
IDCJAC0011,014015,2020,06,10,21.3,1,N
IDCJAC0011,014015,2020,06,11,23.3,1,N
IDCJAC0011,014015,2020,06,12,22.3,1,N
IDCJAC0011,014015,2020,06,13,21.0,1,N
IDCJAC0011,014015,2020,06,14,21.9,1,N
IDCJAC0011,014015,2020,06,15,22.6,1,N
IDCJAC0011,014015,2020,06,16,23.4,1,
IDCJAC0011,014015,2020,06,17,21.4,1,N
IDCJAC0011,014015,2020,06,18,22.3,1,N
IDCJAC0011,014015,2020,06,19,21.1,1,N
IDCJAC0011,014015,2020,06,20,21.7,1,N
IDCJAC0011,014015,2020,06,21,21.9,1,N
IDCJAC0011,014015,2020,06,22,20.4,1,N
IDCJAC0011,014015,2020,06,23,20.7,1,N
IDCJAC0011,014015,2020,06,24,21.6,1,N
IDCJAC0011,014015,2020,06,25,21.0,1,N
IDCJAC0011,014015,2020,06,26,19.2,1,N
IDCJAC0011,014015,2020,06,27,21.2,1,N
IDCJAC0011,014015,2020,06,28,20.0,1,N
IDCJAC0011,014015,2020,06,29,21.6,1,N
IDCJAC0011,014015,2020,06,30,19.5,1,N
IDCJAC0011,014015,2020,07,01,18.9,1,N
IDCJAC0011,014015,2020,07,02,19.3,1,N
IDCJAC0011,014015,2020,07,03,20.8,1,N
IDCJAC0011,014015,2020,07,04,22.7,1,N
IDCJAC0011,014015,2020,07,05,20.1,1,N
IDCJAC0011,014015,2020,07,06,19.6,1,N
IDCJAC0011,014015,2020,07,07,19.4,1,N
IDCJAC0011,014015,2020,07,08,19.2,1,N
IDCJAC0011,014015,2020,07,09,20.0,1,N
IDCJAC0011,014015,2020,07,10,19.5,1,N
IDCJAC0011,014015,2020,07,11,23.0,1,N
IDCJAC0011,014015,2020,07,12,22.9,1,N
IDCJAC0011,014015,2020,07,13,21.5,1,N
IDCJAC0011,014015,2020,07,14,18.1,1,N
IDCJAC0011,014015,2020,07,15,18.5,1,N
IDCJAC0011,014015,2020,07,16,18.3,1,N
IDCJAC0011,014015,2020,07,17,18.7,1,N
IDCJAC0011,014015,2020,07,18,17.5,1,N
IDCJAC0011,014015,2020,07,19,19.0,1,N
IDCJAC0011,014015,2020,07,20,19.9,1,N
IDCJAC0011,014015,2020,07,21,18.5,1,N
IDCJAC0011,014015,2020,07,22,18.4,1,N
IDCJAC0011,014015,2020,07,23,18.4,1,N
IDCJAC0011,014015,2020,07,24,16.5,1,N
IDCJAC0011,014015,2020,07,25,19.7,1,N
IDCJAC0011,014015,2020,07,26,19.5,1,N
IDCJAC0011,014015,2020,07,27,18.6,1,N
IDCJAC0011,014015,2020,07,28,18.3,1,N
IDCJAC0011,014015,2020,07,29,16.4,1,N
IDCJAC0011,014015,2020,07,30,16.2,1,N
IDCJAC0011,014015,2020,07,31,16.6,1,N
IDCJAC0011,014015,2020,08,01,17.3,1,Y
IDCJAC0011,014015,2020,08,02,17.7,1,Y
IDCJAC0011,014015,2020,08,03,17.9,1,Y
IDCJAC0011,014015,2020,08,04,20.5,1,Y
IDCJAC0011,014015,2020,08,05,20.6,1,Y
IDCJAC0011,014015,2020,08,06,22.3,1,Y
IDCJAC0011,014015,2020,08,07,19.6,1,Y
IDCJAC0011,014015,2020,08,08,19.6,1,Y
IDCJAC0011,014015,2020,08,09,18.4,1,Y
IDCJAC0011,014015,2020,08,10,21.4,1,Y
IDCJAC0011,014015,2020,08,11,22.1,1,Y
IDCJAC0011,014015,2020,08,12,22.9,1,Y
IDCJAC0011,014015,2020,08,13,22.8,1,Y
IDCJAC0011,014015,2020,08,14,22.1,1,Y
IDCJAC0011,014015,2020,08,15,23.3,1,Y
IDCJAC0011,014015,2020,08,16,23.4,1,Y
IDCJAC0011,014015,2020,08,17,23.8,1,Y
IDCJAC0011,014015,2020,08,18,21.7,1,Y
IDCJAC0011,014015,2020,08,19,22.3,1,Y
IDCJAC0011,014015,2020,08,20,22.6,1,Y
IDCJAC0011,014015,2020,08,21,23.1,1,Y
IDCJAC0011,014015,2020,08,22,22.4,1,Y
IDCJAC0011,014015,2020,08,23,21.3,1,Y
IDCJAC0011,014015,2020,08,24,19.9,1,Y
IDCJAC0011,014015,2020,08,25,18.3,1,Y
