Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,094029,2020,01,01,11.9,1,Y
IDCJAC0011,094029,2020,01,02,15.7,1,Y
IDCJAC0011,094029,2020,01,03,14.8,1,Y
IDCJAC0011,094029,2020,01,04,15.8,1,Y
IDCJAC0011,094029,2020,01,05,11.6,1,Y
IDCJAC0011,094029,2020,01,06,9.6,1,Y
IDCJAC0011,094029,2020,01,07,14.5,1,Y
IDCJAC0011,094029,2020,01,08,12.5,1,Y
IDCJAC0011,094029,2020,01,09,12.8,1,Y
IDCJAC0011,094029,2020,01,10,19.8,1,Y
IDCJAC0011,094029,2020,01,11,12.8,1,Y
IDCJAC0011,094029,2020,01,12,11.9,1,Y
IDCJAC0011,094029,2020,01,13,12.6,1,Y
IDCJAC0011,094029,2020,01,14,15.1,1,Y
IDCJAC0011,094029,2020,01,15,16.5,1,Y
IDCJAC0011,094029,2020,01,16,12.2,1,Y
IDCJAC0011,094029,2020,01,17,9.0,1,Y
IDCJAC0011,094029,2020,01,18,10.4,1,Y
IDCJAC0011,094029,2020,01,19,12.0,1,Y
IDCJAC0011,094029,2020,01,20,14.6,1,Y
IDCJAC0011,094029,2020,01,21,13.1,1,Y
IDCJAC0011,094029,2020,01,22,12.9,1,Y
IDCJAC0011,094029,2020,01,23,14.0,1,Y
IDCJAC0011,094029,2020,01,24,11.9,1,Y
IDCJAC0011,094029,2020,01,25,14.9,1,Y
IDCJAC0011,094029,2020,01,26,16.6,1,Y
IDCJAC0011,094029,2020,01,27,14.7,1,Y
IDCJAC0011,094029,2020,01,28,15.2,1,Y
IDCJAC0011,094029,2020,01,29,16.4,1,Y
IDCJAC0011,094029,2020,01,30,17.7,1,Y
IDCJAC0011,094029,2020,01,31,15.6,1,Y
IDCJAC0011,094029,2020,02,01,19.9,1,Y
IDCJAC0011,094029,2020,02,02,11.9,1,Y
IDCJAC0011,094029,2020,02,03,8.7,1,Y
IDCJAC0011,094029,2020,02,04,7.6,1,Y
IDCJAC0011,094029,2020,02,05,9.3,1,Y
IDCJAC0011,094029,2020,02,06,12.0,1,Y
IDCJAC0011,094029,2020,02,07,14.9,1,Y
IDCJAC0011,094029,2020,02,08,13.5,1,Y
IDCJAC0011,094029,2020,02,09,14.2,1,Y
IDCJAC0011,094029,2020,02,10,15.6,1,Y
IDCJAC0011,094029,2020,02,11,17.0,1,Y
IDCJAC0011,094029,2020,02,12,16.0,1,Y
IDCJAC0011,094029,2020,02,13,13.0,1,Y
IDCJAC0011,094029,2020,02,14,14.3,1,Y
IDCJAC0011,094029,2020,02,15,14.5,1,Y
IDCJAC0011,094029,2020,02,16,11.2,1,Y
IDCJAC0011,094029,2020,02,17,8.7,1,Y
IDCJAC0011,094029,2020,02,18,9.2,1,Y
IDCJAC0011,094029,2020,02,19,12.3,1,Y
IDCJAC0011,094029,2020,02,20,11.5,1,Y
IDCJAC0011,094029,2020,02,21,10.1,1,Y
IDCJAC0011,094029,2020,02,22,7.5,1,Y
IDCJAC0011,094029,2020,02,23,11.8,1,Y
IDCJAC0011,094029,2020,02,24,13.8,1,Y
IDCJAC0011,094029,2020,02,25,12.0,1,Y
IDCJAC0011,094029,2020,02,26,10.1,1,Y
IDCJAC0011,094029,2020,02,27,10.3,1,Y
IDCJAC0011,094029,2020,02,28,8.2,1,Y
IDCJAC0011,094029,2020,02,29,11.8,1,Y
IDCJAC0011,094029,2020,03,01,11.9,1,N
IDCJAC0011,094029,2020,03,02,9.8,1,N
IDCJAC0011,094029,2020,03,03,10.9,1,N
IDCJAC0011,094029,2020,03,04,10.8,1,N
IDCJAC0011,094029,2020,03,05,14.5,1,N
IDCJAC0011,094029,2020,03,06,15.4,1,N
IDCJAC0011,094029,2020,03,07,11.0,1,N
IDCJAC0011,094029,2020,03,08,9.6,1,N
IDCJAC0011,094029,2020,03,09,10.8,1,N
IDCJAC0011,094029,2020,03,10,7.8,1,N
IDCJAC0011,094029,2020,03,11,9.4,1,N
IDCJAC0011,094029,2020,03,12,12.0,1,Y
IDCJAC0011,094029,2020,03,13,14.7,1,N
IDCJAC0011,094029,2020,03,14,7.8,1,N
IDCJAC0011,094029,2020,03,15,9.8,1,N
IDCJAC0011,094029,2020,03,16,11.4,1,N
IDCJAC0011,094029,2020,03,17,10.9,1,N
IDCJAC0011,094029,2020,03,18,13.0,1,N
IDCJAC0011,094029,2020,03,19,12.8,1,N
IDCJAC0011,094029,2020,03,20,13.6,1,N
IDCJAC0011,094029,2020,03,21,12.2,1,N
IDCJAC0011,094029,2020,03,22,10.5,1,N
IDCJAC0011,094029,2020,03,23,9.6,1,N
IDCJAC0011,094029,2020,03,24,6.1,1,N
IDCJAC0011,094029,2020,03,25,9.1,1,N
IDCJAC0011,094029,2020,03,26,5.3,1,N
IDCJAC0011,094029,2020,03,27,9.5,1,N
IDCJAC0011,094029,2020,03,28,10.1,1,N
IDCJAC0011,094029,2020,03,29,12.7,1,N
IDCJAC0011,094029,2020,03,30,14.0,1,N
IDCJAC0011,094029,2020,03,31,10.7,1,N
IDCJAC0011,094029,2020,04,01,12.7,1,Y
IDCJAC0011,094029,2020,04,02,14.5,1,Y
IDCJAC0011,094029,2020,04,03,13.8,1,Y
IDCJAC0011,094029,2020,04,04,13.8,1,Y
IDCJAC0011,094029,2020,04,05,6.0,1,Y
IDCJAC0011,094029,2020,04,06,7.1,1,Y
IDCJAC0011,094029,2020,04,07,5.6,1,Y
IDCJAC0011,094029,2020,04,08,8.8,1,Y
IDCJAC0011,094029,2020,04,09,5.2,1,Y
IDCJAC0011,094029,2020,04,10,10.5,1,Y
IDCJAC0011,094029,2020,04,11,10.9,1,Y
IDCJAC0011,094029,2020,04,12,9.3,1,Y
IDCJAC0011,094029,2020,04,13,7.7,1,Y
IDCJAC0011,094029,2020,04,14,10.9,1,Y
IDCJAC0011,094029,2020,04,15,14.1,1,Y
IDCJAC0011,094029,2020,04,16,13.6,1,Y
IDCJAC0011,094029,2020,04,17,7.7,1,Y
IDCJAC0011,094029,2020,04,18,8.4,1,Y
IDCJAC0011,094029,2020,04,19,6.7,1,Y
IDCJAC0011,094029,2020,04,20,9.8,1,Y
IDCJAC0011,094029,2020,04,21,9.3,1,Y
IDCJAC0011,094029,2020,04,22,11.3,1,Y
IDCJAC0011,094029,2020,04,23,9.9,1,Y
IDCJAC0011,094029,2020,04,24,12.5,1,Y
IDCJAC0011,094029,2020,04,25,13.8,1,Y
IDCJAC0011,094029,2020,04,26,14.5,1,Y
IDCJAC0011,094029,2020,04,27,10.6,1,Y
IDCJAC0011,094029,2020,04,28,13.1,1,Y
IDCJAC0011,094029,2020,04,29,10.3,1,Y
IDCJAC0011,094029,2020,04,30,10.6,1,Y
IDCJAC0011,094029,2020,05,01,8.5,1,Y
IDCJAC0011,094029,2020,05,02,6.8,1,Y
IDCJAC0011,094029,2020,05,03,8.7,1,Y
IDCJAC0011,094029,2020,05,04,9.0,1,Y
IDCJAC0011,094029,2020,05,05,5.4,1,Y
IDCJAC0011,094029,2020,05,06,8.9,1,Y
IDCJAC0011,094029,2020,05,07,10.0,1,Y
IDCJAC0011,094029,2020,05,08,11.0,1,Y
IDCJAC0011,094029,2020,05,09,9.2,1,Y
IDCJAC0011,094029,2020,05,10,4.6,1,Y
IDCJAC0011,094029,2020,05,11,8.6,1,Y
IDCJAC0011,094029,2020,05,12,10.8,1,Y
IDCJAC0011,094029,2020,05,13,7.8,1,Y
IDCJAC0011,094029,2020,05,14,5.3,1,Y
IDCJAC0011,094029,2020,05,15,7.8,1,Y
IDCJAC0011,094029,2020,05,16,7.4,1,Y
IDCJAC0011,094029,2020,05,17,9.2,1,Y
IDCJAC0011,094029,2020,05,18,6.8,1,Y
IDCJAC0011,094029,2020,05,19,8.5,1,Y
IDCJAC0011,094029,2020,05,20,9.7,1,Y
IDCJAC0011,094029,2020,05,21,7.7,1,Y
IDCJAC0011,094029,2020,05,22,3.7,1,Y
IDCJAC0011,094029,2020,05,23,3.6,1,Y
IDCJAC0011,094029,2020,05,24,5.7,1,Y
IDCJAC0011,094029,2020,05,25,7.5,1,Y
IDCJAC0011,094029,2020,05,26,0.9,1,Y
IDCJAC0011,094029,2020,05,27,1.9,1,Y
IDCJAC0011,094029,2020,05,28,5.8,1,Y
IDCJAC0011,094029,2020,05,29,10.5,1,Y
IDCJAC0011,094029,2020,05,30,9.8,1,Y
IDCJAC0011,094029,2020,05,31,11.1,1,Y
IDCJAC0011,094029,2020,06,01,6.8,1,Y
IDCJAC0011,094029,2020,06,02,7.2,1,Y
IDCJAC0011,094029,2020,06,03,7.4,1,Y
IDCJAC0011,094029,2020,06,04,3.7,1,Y
IDCJAC0011,094029,2020,06,05,7.4,1,Y
IDCJAC0011,094029,2020,06,06,1.5,1,Y
IDCJAC0011,094029,2020,06,07,1.9,1,Y
IDCJAC0011,094029,2020,06,08,3.0,1,Y
IDCJAC0011,094029,2020,06,09,3.2,1,Y
IDCJAC0011,094029,2020,06,10,5.6,1,Y
IDCJAC0011,094029,2020,06,11,8.2,1,Y
IDCJAC0011,094029,2020,06,12,2.2,1,Y
IDCJAC0011,094029,2020,06,13,5.2,1,Y
IDCJAC0011,094029,2020,06,14,5.5,1,Y
IDCJAC0011,094029,2020,06,15,10.6,1,Y
IDCJAC0011,094029,2020,06,16,12.5,1,Y
IDCJAC0011,094029,2020,06,17,4.1,1,Y
IDCJAC0011,094029,2020,06,18,2.0,1,Y
IDCJAC0011,094029,2020,06,19,3.1,1,Y
IDCJAC0011,094029,2020,06,20,4.1,1,Y
IDCJAC0011,094029,2020,06,21,6.8,1,Y
IDCJAC0011,094029,2020,06,22,6.9,1,Y
IDCJAC0011,094029,2020,06,23,11.3,1,Y
IDCJAC0011,094029,2020,06,24,10.9,1,Y
IDCJAC0011,094029,2020,06,25,9.2,1,Y
IDCJAC0011,094029,2020,06,26,6.4,1,Y
IDCJAC0011,094029,2020,06,27,3.2,1,Y
IDCJAC0011,094029,2020,06,28,3.0,1,Y
IDCJAC0011,094029,2020,06,29,3.6,1,Y
IDCJAC0011,094029,2020,06,30,5.5,1,Y
IDCJAC0011,094029,2020,07,01,3.3,1,Y
IDCJAC0011,094029,2020,07,02,5.1,1,Y
IDCJAC0011,094029,2020,07,03,6.2,1,Y
IDCJAC0011,094029,2020,07,04,6.1,1,Y
IDCJAC0011,094029,2020,07,05,8.7,1,Y
IDCJAC0011,094029,2020,07,06,7.9,1,Y
IDCJAC0011,094029,2020,07,07,3.8,1,Y
IDCJAC0011,094029,2020,07,08,0.5,1,Y
IDCJAC0011,094029,2020,07,09,2.0,1,Y
IDCJAC0011,094029,2020,07,10,2.1,1,Y
IDCJAC0011,094029,2020,07,11,2.1,1,Y
IDCJAC0011,094029,2020,07,12,4.4,1,Y
IDCJAC0011,094029,2020,07,13,3.3,1,Y
IDCJAC0011,094029,2020,07,14,3.3,1,Y
IDCJAC0011,094029,2020,07,15,5.8,1,Y
IDCJAC0011,094029,2020,07,16,4.6,1,Y
IDCJAC0011,094029,2020,07,17,2.7,1,Y
IDCJAC0011,094029,2020,07,18,2.4,1,Y
IDCJAC0011,094029,2020,07,19,3.3,1,Y
IDCJAC0011,094029,2020,07,20,6.6,1,Y
IDCJAC0011,094029,2020,07,21,6.0,1,Y
IDCJAC0011,094029,2020,07,22,5.0,1,Y
IDCJAC0011,094029,2020,07,23,5.1,1,Y
IDCJAC0011,094029,2020,07,24,3.1,1,Y
