Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,086338,2020,01,01,11.8,1,Y
IDCJAC0011,086338,2020,01,02,12.8,1,Y
IDCJAC0011,086338,2020,01,03,13.7,1,Y
IDCJAC0011,086338,2020,01,04,18.6,1,Y
IDCJAC0011,086338,2020,01,05,12.7,1,Y
IDCJAC0011,086338,2020,01,06,11.9,1,Y
IDCJAC0011,086338,2020,01,07,12.6,1,Y
IDCJAC0011,086338,2020,01,08,16.8,1,Y
IDCJAC0011,086338,2020,01,09,17.9,1,Y
IDCJAC0011,086338,2020,01,10,20.1,1,Y
IDCJAC0011,086338,2020,01,11,13.5,1,Y
IDCJAC0011,086338,2020,01,12,14.2,1,Y
IDCJAC0011,086338,2020,01,13,12.7,1,Y
IDCJAC0011,086338,2020,01,14,16.7,1,Y
IDCJAC0011,086338,2020,01,15,19.5,1,Y
IDCJAC0011,086338,2020,01,16,15.7,1,Y
IDCJAC0011,086338,2020,01,17,14.4,1,Y
IDCJAC0011,086338,2020,01,18,13.9,1,Y
IDCJAC0011,086338,2020,01,19,17.5,1,Y
IDCJAC0011,086338,2020,01,20,19.1,1,Y
IDCJAC0011,086338,2020,01,21,14.8,1,Y
IDCJAC0011,086338,2020,01,22,14.1,1,Y
IDCJAC0011,086338,2020,01,23,12.9,1,Y
IDCJAC0011,086338,2020,01,24,11.7,1,Y
IDCJAC0011,086338,2020,01,25,13.0,1,Y
IDCJAC0011,086338,2020,01,26,15.8,1,Y
IDCJAC0011,086338,2020,01,27,12.8,1,Y
IDCJAC0011,086338,2020,01,28,13.6,1,Y
IDCJAC0011,086338,2020,01,29,15.2,1,Y
IDCJAC0011,086338,2020,01,30,16.4,1,Y
IDCJAC0011,086338,2020,01,31,21.5,1,Y
IDCJAC0011,086338,2020,02,01,23.5,1,Y
IDCJAC0011,086338,2020,02,02,14.2,1,Y
IDCJAC0011,086338,2020,02,03,13.2,1,Y
IDCJAC0011,086338,2020,02,04,11.3,1,Y
IDCJAC0011,086338,2020,02,05,10.8,1,Y
IDCJAC0011,086338,2020,02,06,13.7,1,Y
IDCJAC0011,086338,2020,02,07,16.5,1,Y
IDCJAC0011,086338,2020,02,08,17.4,1,Y
IDCJAC0011,086338,2020,02,09,19.6,1,Y
IDCJAC0011,086338,2020,02,10,18.5,1,Y
IDCJAC0011,086338,2020,02,11,19.5,1,Y
IDCJAC0011,086338,2020,02,12,19.1,1,Y
IDCJAC0011,086338,2020,02,13,19.4,1,Y
IDCJAC0011,086338,2020,02,14,20.3,1,Y
IDCJAC0011,086338,2020,02,15,18.9,1,Y
IDCJAC0011,086338,2020,02,16,16.9,1,Y
IDCJAC0011,086338,2020,02,17,15.2,1,Y
IDCJAC0011,086338,2020,02,18,17.6,1,Y
IDCJAC0011,086338,2020,02,19,13.3,1,Y
