Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,009225,2020,01,01,30.5,1,Y
IDCJAC0010,009225,2020,01,02,24.2,1,Y
IDCJAC0010,009225,2020,01,03,22.1,1,Y
IDCJAC0010,009225,2020,01,04,27.6,1,Y
IDCJAC0010,009225,2020,01,05,35.3,1,Y
IDCJAC0010,009225,2020,01,06,33.6,1,Y
IDCJAC0010,009225,2020,01,07,31.7,1,Y
IDCJAC0010,009225,2020,01,08,28.9,1,Y
IDCJAC0010,009225,2020,01,09,26.0,1,Y
IDCJAC0010,009225,2020,01,10,32.1,1,Y
IDCJAC0010,009225,2020,01,11,35.7,1,Y
IDCJAC0010,009225,2020,01,12,32.2,1,Y
IDCJAC0010,009225,2020,01,13,33.3,1,Y
IDCJAC0010,009225,2020,01,14,33.4,1,Y
IDCJAC0010,009225,2020,01,15,34.2,1,Y
IDCJAC0010,009225,2020,01,16,35.2,1,Y
IDCJAC0010,009225,2020,01,17,28.2,1,Y
IDCJAC0010,009225,2020,01,18,30.9,1,Y
IDCJAC0010,009225,2020,01,19,30.6,1,Y
IDCJAC0010,009225,2020,01,20,31.0,1,Y
IDCJAC0010,009225,2020,01,21,25.5,1,Y
IDCJAC0010,009225,2020,01,22,24.4,1,Y
IDCJAC0010,009225,2020,01,23,27.2,1,Y
IDCJAC0010,009225,2020,01,24,32.3,1,Y
IDCJAC0010,009225,2020,01,25,32.0,1,Y
IDCJAC0010,009225,2020,01,26,36.3,1,Y
IDCJAC0010,009225,2020,01,27,39.9,1,Y
IDCJAC0010,009225,2020,01,28,35.2,1,Y
IDCJAC0010,009225,2020,01,29,27.2,1,Y
IDCJAC0010,009225,2020,01,30,23.9,1,Y
IDCJAC0010,009225,2020,01,31,24.2,1,Y
IDCJAC0010,009225,2020,02,01,27.4,1,Y
IDCJAC0010,009225,2020,02,02,34.8,1,Y
IDCJAC0010,009225,2020,02,03,38.4,1,Y
IDCJAC0010,009225,2020,02,04,42.7,1,Y
IDCJAC0010,009225,2020,02,05,34.9,1,Y
IDCJAC0010,009225,2020,02,06,30.9,1,Y
IDCJAC0010,009225,2020,02,07,29.1,1,Y
IDCJAC0010,009225,2020,02,08,28.0,1,Y
IDCJAC0010,009225,2020,02,09,27.8,1,Y
IDCJAC0010,009225,2020,02,10,32.9,1,Y
IDCJAC0010,009225,2020,02,11,34.8,1,Y
IDCJAC0010,009225,2020,02,12,34.3,1,Y
IDCJAC0010,009225,2020,02,13,36.1,1,Y
IDCJAC0010,009225,2020,02,14,40.6,1,Y
IDCJAC0010,009225,2020,02,15,25.6,1,Y
IDCJAC0010,009225,2020,02,16,26.3,1,Y
IDCJAC0010,009225,2020,02,17,32.0,1,Y
IDCJAC0010,009225,2020,02,18,33.5,1,Y
IDCJAC0010,009225,2020,02,19,36.2,1,Y
IDCJAC0010,009225,2020,02,20,37.1,1,Y
IDCJAC0010,009225,2020,02,21,31.9,1,Y
IDCJAC0010,009225,2020,02,22,27.7,1,Y
IDCJAC0010,009225,2020,02,23,33.5,1,Y
IDCJAC0010,009225,2020,02,24,32.0,1,Y
IDCJAC0010,009225,2020,02,25,34.4,1,Y
IDCJAC0010,009225,2020,02,26,29.7,1,Y
IDCJAC0010,009225,2020,02,27,26.6,1,Y
IDCJAC0010,009225,2020,02,28,30.8,1,Y
IDCJAC0010,009225,2020,02,29,27.7,1,Y
IDCJAC0010,009225,2020,03,01,28.9,1,Y
IDCJAC0010,009225,2020,03,02,29.3,1,Y
IDCJAC0010,009225,2020,03,03,32.6,1,Y
IDCJAC0010,009225,2020,03,04,33.7,1,Y
IDCJAC0010,009225,2020,03,05,32.6,1,Y
IDCJAC0010,009225,2020,03,06,26.9,1,Y
IDCJAC0010,009225,2020,03,07,26.8,1,Y
IDCJAC0010,009225,2020,03,08,30.3,1,Y
IDCJAC0010,009225,2020,03,09,35.3,1,Y
IDCJAC0010,009225,2020,03,10,35.1,1,Y
IDCJAC0010,009225,2020,03,11,35.1,1,Y
IDCJAC0010,009225,2020,03,12,30.0,1,Y
IDCJAC0010,009225,2020,03,13,32.8,1,Y
IDCJAC0010,009225,2020,03,14,31.1,1,Y
IDCJAC0010,009225,2020,03,15,26.1,1,Y
IDCJAC0010,009225,2020,03,16,27.0,1,Y
IDCJAC0010,009225,2020,03,17,24.9,1,Y
IDCJAC0010,009225,2020,03,18,23.3,1,Y
IDCJAC0010,009225,2020,03,19,24.6,1,Y
IDCJAC0010,009225,2020,03,20,31.5,1,Y
IDCJAC0010,009225,2020,03,21,31.9,1,Y
IDCJAC0010,009225,2020,03,22,31.8,1,Y
IDCJAC0010,009225,2020,03,23,32.6,1,Y
IDCJAC0010,009225,2020,03,24,33.9,1,Y
IDCJAC0010,009225,2020,03,25,34.3,1,Y
IDCJAC0010,009225,2020,03,26,36.7,1,Y
IDCJAC0010,009225,2020,03,27,27.9,1,Y
IDCJAC0010,009225,2020,03,28,23.3,1,Y
IDCJAC0010,009225,2020,03,29,22.6,1,Y
IDCJAC0010,009225,2020,03,30,23.8,1,Y
IDCJAC0010,009225,2020,03,31,25.2,1,Y
IDCJAC0010,009225,2020,04,01,27.1,1,Y
IDCJAC0010,009225,2020,04,02,24.1,1,Y
IDCJAC0010,009225,2020,04,03,23.7,1,Y
IDCJAC0010,009225,2020,04,04,24.6,1,Y
IDCJAC0010,009225,2020,04,05,26.5,1,Y
IDCJAC0010,009225,2020,04,06,31.8,1,Y
IDCJAC0010,009225,2020,04,07,33.6,1,Y
IDCJAC0010,009225,2020,04,08,32.6,1,Y
IDCJAC0010,009225,2020,04,09,34.0,1,Y
IDCJAC0010,009225,2020,04,10,35.6,1,Y
IDCJAC0010,009225,2020,04,11,39.5,1,Y
IDCJAC0010,009225,2020,04,12,26.2,1,Y
IDCJAC0010,009225,2020,04,13,26.7,1,Y
IDCJAC0010,009225,2020,04,14,24.9,1,Y
IDCJAC0010,009225,2020,04,15,24.2,1,Y
IDCJAC0010,009225,2020,04,16,25.1,1,Y
IDCJAC0010,009225,2020,04,17,27.4,1,Y
IDCJAC0010,009225,2020,04,18,22.1,1,Y
IDCJAC0010,009225,2020,04,19,22.7,1,Y
IDCJAC0010,009225,2020,04,20,24.4,1,Y
IDCJAC0010,009225,2020,04,21,24.5,1,Y
