Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,9225,2020,01,01,17.3,1,Y
IDCJAC0011,9225,2020,01,02,17.3,1,Y
IDCJAC0011,9225,2020,01,03,13.5,1,Y
IDCJAC0011,9225,2020,01,04,12.7,1,Y
IDCJAC0011,9225,2020,01,05,13.0,1,Y
IDCJAC0011,9225,2020,01,06,15.8,1,Y
IDCJAC0011,9225,2020,01,07,15.9,1,Y
IDCJAC0011,9225,2020,01,08,18.6,1,Y
IDCJAC0011,9225,2020,01,09,17.3,1,Y
IDCJAC0011,9225,2020,01,10,15.8,1,Y
IDCJAC0011,9225,2020,01,11,17.7,1,Y
IDCJAC0011,9225,2020,01,12,17.3,1,Y
IDCJAC0011,9225,2020,01,13,18.3,1,Y
IDCJAC0011,9225,2020,01,14,20.5,1,Y
IDCJAC0011,9225,2020,01,15,19.6,1,Y
IDCJAC0011,9225,2020,01,16,20.0,1,Y
IDCJAC0011,9225,2020,01,17,22.5,1,Y
IDCJAC0011,9225,2020,01,18,19.4,1,Y
IDCJAC0011,9225,2020,01,19,17.0,1,Y
IDCJAC0011,9225,2020,01,20,14.6,1,Y
IDCJAC0011,9225,2020,01,21,17.1,1,Y
IDCJAC0011,9225,2020,01,22,14.2,1,Y
IDCJAC0011,9225,2020,01,23,18.0,1,Y
IDCJAC0011,9225,2020,01,24,15.1,1,Y
IDCJAC0011,9225,2020,01,25,18.1,1,Y
IDCJAC0011,9225,2020,01,26,19.5,1,Y
IDCJAC0011,9225,2020,01,27,22.6,1,Y
IDCJAC0011,9225,2020,01,28,19.6,1,Y
IDCJAC0011,9225,2020,01,29,18.8,1,Y
IDCJAC0011,9225,2020,01,30,18.6,1,Y
IDCJAC0011,9225,2020,01,31,12.9,1,Y
IDCJAC0011,9225,2020,02,01,14.6,1,Y
IDCJAC0011,9225,2020,02,02,17.0,1,Y
IDCJAC0011,9225,2020,02,03,18.2,1,Y
IDCJAC0011,9225,2020,02,04,22.6,1,Y
IDCJAC0011,9225,2020,02,05,22.4,1,Y
IDCJAC0011,9225,2020,02,06,21.2,1,Y
IDCJAC0011,9225,2020,02,07,21.0,1,Y
IDCJAC0011,9225,2020,02,08,20.0,1,Y
IDCJAC0011,9225,2020,02,09,15.2,1,Y
IDCJAC0011,9225,2020,02,10,15.3,1,Y
IDCJAC0011,9225,2020,02,11,19.3,1,Y
IDCJAC0011,9225,2020,02,12,19.5,1,Y
IDCJAC0011,9225,2020,02,13,21.6,1,Y
IDCJAC0011,9225,2020,02,14,23.8,1,Y
IDCJAC0011,9225,2020,02,15,22.3,1,Y
IDCJAC0011,9225,2020,02,16,18.0,1,Y
IDCJAC0011,9225,2020,02,17,18.2,1,Y
IDCJAC0011,9225,2020,02,18,16.9,1,Y
IDCJAC0011,9225,2020,02,19,22.1,1,Y
IDCJAC0011,9225,2020,02,20,24.6,1,Y
IDCJAC0011,9225,2020,02,21,22.9,1,Y
IDCJAC0011,9225,2020,02,22,20.1,1,Y
IDCJAC0011,9225,2020,02,23,19.6,1,Y
IDCJAC0011,9225,2020,02,24,21.0,1,Y
IDCJAC0011,9225,2020,02,25,21.7,1,Y
IDCJAC0011,9225,2020,02,26,21.1,1,Y
IDCJAC0011,9225,2020,02,27,22.3,1,Y
IDCJAC0011,9225,2020,02,28,21.4,1,Y
IDCJAC0011,9225,2020,02,29,20.9,1,Y
IDCJAC0011,9225,2020,03,01,20.3,1,Y
IDCJAC0011,9225,2020,03,02,15.8,1,Y
IDCJAC0011,9225,2020,03,03,15.0,1,Y
IDCJAC0011,9225,2020,03,04,13.7,1,Y
IDCJAC0011,9225,2020,03,05,14.0,1,Y
IDCJAC0011,9225,2020,03,06,19.9,1,Y
IDCJAC0011,9225,2020,03,07,20.5,1,Y
IDCJAC0011,9225,2020,03,08,17.6,1,Y
IDCJAC0011,9225,2020,03,09,21.9,1,Y
IDCJAC0011,9225,2020,03,10,19.9,1,Y
IDCJAC0011,9225,2020,03,11,19.2,1,Y
IDCJAC0011,9225,2020,03,12,18.1,1,Y
IDCJAC0011,9225,2020,03,13,18.9,1,Y
IDCJAC0011,9225,2020,03,14,22.8,1,Y
IDCJAC0011,9225,2020,03,15,19.5,1,Y
IDCJAC0011,9225,2020,03,16,18.7,1,Y
IDCJAC0011,9225,2020,03,17,19.2,1,Y
IDCJAC0011,9225,2020,03,18,14.5,1,Y
IDCJAC0011,9225,2020,03,19,12.8,1,Y
IDCJAC0011,9225,2020,03,20,15.9,1,Y
IDCJAC0011,9225,2020,03,21,16.6,1,Y
IDCJAC0011,9225,2020,03,22,18.8,1,Y
IDCJAC0011,9225,2020,03,23,18.2,1,Y
