Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,066214,2020,01,01,27.3,1,Y
IDCJAC0010,066214,2020,01,02,29.0,1,Y
IDCJAC0010,066214,2020,01,03,29.4,1,Y
IDCJAC0010,066214,2020,01,04,36.4,1,Y
IDCJAC0010,066214,2020,01,05,26.6,1,Y
IDCJAC0010,066214,2020,01,06,27.9,1,Y
IDCJAC0010,066214,2020,01,07,28.8,1,Y
IDCJAC0010,066214,2020,01,08,27.7,1,Y
IDCJAC0010,066214,2020,01,09,26.5,1,Y
IDCJAC0010,066214,2020,01,10,31.3,1,Y
IDCJAC0010,066214,2020,01,11,23.1,1,Y
IDCJAC0010,066214,2020,01,12,22.1,1,Y
IDCJAC0010,066214,2020,01,13,29.1,1,Y
IDCJAC0010,066214,2020,01,14,28.9,1,Y
IDCJAC0010,066214,2020,01,15,28.3,1,Y
IDCJAC0010,066214,2020,01,16,28.1,1,Y
IDCJAC0010,066214,2020,01,17,22.2,1,Y
IDCJAC0010,066214,2020,01,18,22.8,1,Y
IDCJAC0010,066214,2020,01,19,26.6,1,Y
IDCJAC0010,066214,2020,01,20,29.1,1,Y
IDCJAC0010,066214,2020,01,21,31.9,1,Y
IDCJAC0010,066214,2020,01,22,30.7,1,Y
IDCJAC0010,066214,2020,01,23,41.2,1,Y
IDCJAC0010,066214,2020,01,24,28.5,1,Y
IDCJAC0010,066214,2020,01,25,29.1,1,Y
IDCJAC0010,066214,2020,01,26,32.5,1,Y
IDCJAC0010,066214,2020,01,27,30.2,1,Y
IDCJAC0010,066214,2020,01,28,31.3,1,Y
IDCJAC0010,066214,2020,01,29,29.0,1,Y
IDCJAC0010,066214,2020,01,30,30.1,1,Y
IDCJAC0010,066214,2020,01,31,32.4,1,Y
IDCJAC0010,066214,2020,02,01,36.4,1,Y
IDCJAC0010,066214,2020,02,02,31.1,1,Y
IDCJAC0010,066214,2020,02,03,31.7,1,Y
IDCJAC0010,066214,2020,02,04,23.7,1,Y
IDCJAC0010,066214,2020,02,05,27.4,1,Y
IDCJAC0010,066214,2020,02,06,24.4,1,Y
IDCJAC0010,066214,2020,02,07,22.6,1,Y
IDCJAC0010,066214,2020,02,08,23.8,1,Y
IDCJAC0010,066214,2020,02,09,21.9,1,Y
IDCJAC0010,066214,2020,02,10,27.8,1,Y
IDCJAC0010,066214,2020,02,11,30.8,1,Y
IDCJAC0010,066214,2020,02,12,26.4,1,Y
IDCJAC0010,066214,2020,02,13,26.3,1,Y
IDCJAC0010,066214,2020,02,14,27.8,1,Y
IDCJAC0010,066214,2020,02,15,28.5,1,Y
IDCJAC0010,066214,2020,02,16,27.7,1,Y
IDCJAC0010,066214,2020,02,17,26.1,1,Y
IDCJAC0010,066214,2020,02,18,30.0,1,Y
IDCJAC0010,066214,2020,02,19,29.1,1,Y
IDCJAC0010,066214,2020,02,20,25.5,1,Y
IDCJAC0010,066214,2020,02,21,26.6,1,Y
IDCJAC0010,066214,2020,02,22,24.3,1,Y
IDCJAC0010,066214,2020,02,23,25.9,1,Y
IDCJAC0010,066214,2020,02,24,28.4,1,Y
IDCJAC0010,066214,2020,02,25,29.7,1,Y
IDCJAC0010,066214,2020,02,26,32.2,1,Y
IDCJAC0010,066214,2020,02,27,27.2,1,Y
IDCJAC0010,066214,2020,02,28,25.7,1,Y
IDCJAC0010,066214,2020,02,29,27.9,1,Y
IDCJAC0010,066214,2020,03,01,29.7,1,Y
IDCJAC0010,066214,2020,03,02,38.0,1,Y
IDCJAC0010,066214,2020,03,03,21.9,1,Y
IDCJAC0010,066214,2020,03,04,25.6,1,Y
IDCJAC0010,066214,2020,03,05,22.8,1,Y
IDCJAC0010,066214,2020,03,06,27.6,1,Y
IDCJAC0010,066214,2020,03,07,24.9,1,Y
IDCJAC0010,066214,2020,03,08,23.2,1,Y
IDCJAC0010,066214,2020,03,09,22.2,1,Y
IDCJAC0010,066214,2020,03,10,23.6,1,Y
IDCJAC0010,066214,2020,03,11,26.0,1,Y
IDCJAC0010,066214,2020,03,12,26.6,1,Y
IDCJAC0010,066214,2020,03,13,26.5,1,Y
IDCJAC0010,066214,2020,03,14,17.9,1,Y
IDCJAC0010,066214,2020,03,15,20.3,1,Y
IDCJAC0010,066214,2020,03,16,22.5,1,Y
IDCJAC0010,066214,2020,03,17,23.9,1,Y
IDCJAC0010,066214,2020,03,18,25.8,1,Y
IDCJAC0010,066214,2020,03,19,32.0,1,Y
IDCJAC0010,066214,2020,03,20,34.7,1,Y
IDCJAC0010,066214,2020,03,21,27.6,1,Y
IDCJAC0010,066214,2020,03,22,29.6,1,Y
IDCJAC0010,066214,2020,03,23,23.0,1,Y
IDCJAC0010,066214,2020,03,24,22.4,1,Y
IDCJAC0010,066214,2020,03,25,25.6,1,Y
IDCJAC0010,066214,2020,03,26,22.4,1,Y
IDCJAC0010,066214,2020,03,27,23.9,1,Y
IDCJAC0010,066214,2020,03,28,26.2,1,Y
IDCJAC0010,066214,2020,03,29,26.0,1,Y
IDCJAC0010,066214,2020,03,30,24.8,1,Y
IDCJAC0010,066214,2020,03,31,27.0,1,Y
IDCJAC0010,066214,2020,04,01,24.8,1,Y
IDCJAC0010,066214,2020,04,02,25.4,1,Y
IDCJAC0010,066214,2020,04,03,25.8,1,Y
IDCJAC0010,066214,2020,04,04,25.6,1,Y
IDCJAC0010,066214,2020,04,05,24.9,1,Y
IDCJAC0010,066214,2020,04,06,24.9,1,Y
IDCJAC0010,066214,2020,04,07,21.7,1,Y
IDCJAC0010,066214,2020,04,08,20.4,1,Y
IDCJAC0010,066214,2020,04,09,22.2,1,Y
IDCJAC0010,066214,2020,04,10,23.3,1,Y
IDCJAC0010,066214,2020,04,11,26.5,1,Y
IDCJAC0010,066214,2020,04,12,22.6,1,Y
IDCJAC0010,066214,2020,04,13,22.6,1,Y
IDCJAC0010,066214,2020,04,14,24.5,1,Y
IDCJAC0010,066214,2020,04,15,25.4,1,Y
IDCJAC0010,066214,2020,04,16,25.7,1,Y
IDCJAC0010,066214,2020,04,17,27.9,1,Y
IDCJAC0010,066214,2020,04,18,24.9,1,Y
IDCJAC0010,066214,2020,04,19,23.9,1,Y
IDCJAC0010,066214,2020,04,20,19.4,1,Y
IDCJAC0010,066214,2020,04,21,25.4,1,Y
IDCJAC0010,066214,2020,04,22,26.3,1,Y
IDCJAC0010,066214,2020,04,23,26.2,1,Y
IDCJAC0010,066214,2020,04,24,28.4,1,Y
IDCJAC0010,066214,2020,04,25,25.8,1,Y
IDCJAC0010,066214,2020,04,26,27.8,1,Y
IDCJAC0010,066214,2020,04,27,21.6,1,Y
IDCJAC0010,066214,2020,04,28,24.4,1,Y
IDCJAC0010,066214,2020,04,29,25.1,1,Y
IDCJAC0010,066214,2020,04,30,21.1,1,Y
IDCJAC0010,066214,2020,05,01,16.7,1,Y
IDCJAC0010,066214,2020,05,02,18.3,1,Y
IDCJAC0010,066214,2020,05,03,19.6,1,Y
IDCJAC0010,066214,2020,05,04,19.4,1,Y
IDCJAC0010,066214,2020,05,05,20.9,1,Y
IDCJAC0010,066214,2020,05,06,24.1,1,Y
IDCJAC0010,066214,2020,05,07,24.8,1,Y
IDCJAC0010,066214,2020,05,08,28.0,1,Y
IDCJAC0010,066214,2020,05,09,25.8,1,Y
IDCJAC0010,066214,2020,05,10,19.3,1,Y
IDCJAC0010,066214,2020,05,11,19.4,1,Y
