Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,066214,2020,01,01,18.9,1,Y
IDCJAC0011,066214,2020,01,02,19.3,1,Y
IDCJAC0011,066214,2020,01,03,21.9,1,Y
IDCJAC0011,066214,2020,01,04,20.9,1,Y
IDCJAC0011,066214,2020,01,05,21.4,1,Y
IDCJAC0011,066214,2020,01,06,19.4,1,Y
IDCJAC0011,066214,2020,01,07,20.1,1,Y
IDCJAC0011,066214,2020,01,08,21.1,1,Y
IDCJAC0011,066214,2020,01,09,21.2,1,Y
IDCJAC0011,066214,2020,01,10,21.4,1,Y
IDCJAC0011,066214,2020,01,11,19.0,1,Y
IDCJAC0011,066214,2020,01,12,18.9,1,Y
IDCJAC0011,066214,2020,01,13,17.2,1,Y
IDCJAC0011,066214,2020,01,14,19.0,1,Y
IDCJAC0011,066214,2020,01,15,18.8,1,Y
IDCJAC0011,066214,2020,01,16,21.2,1,Y
IDCJAC0011,066214,2020,01,17,18.4,1,Y
IDCJAC0011,066214,2020,01,18,18.3,1,Y
IDCJAC0011,066214,2020,01,19,18.7,1,Y
IDCJAC0011,066214,2020,01,20,20.4,1,Y
IDCJAC0011,066214,2020,01,21,19.6,1,Y
IDCJAC0011,066214,2020,01,22,20.0,1,Y
IDCJAC0011,066214,2020,01,23,22.7,1,Y
IDCJAC0011,066214,2020,01,24,22.9,1,Y
IDCJAC0011,066214,2020,01,25,22.3,1,Y
IDCJAC0011,066214,2020,01,26,24.2,1,Y
IDCJAC0011,066214,2020,01,27,22.5,1,Y
IDCJAC0011,066214,2020,01,28,22.7,1,Y
IDCJAC0011,066214,2020,01,29,23.1,1,Y
IDCJAC0011,066214,2020,01,30,19.9,1,Y
IDCJAC0011,066214,2020,01,31,23.0,1,Y
IDCJAC0011,066214,2020,02,01,23.7,1,Y
IDCJAC0011,066214,2020,02,02,24.6,1,Y
IDCJAC0011,066214,2020,02,03,22.2,1,Y
IDCJAC0011,066214,2020,02,04,18.2,1,Y
IDCJAC0011,066214,2020,02,05,17.9,1,Y
IDCJAC0011,066214,2020,02,06,20.4,1,Y
IDCJAC0011,066214,2020,02,07,18.5,1,Y
IDCJAC0011,066214,2020,02,08,18.9,1,Y
IDCJAC0011,066214,2020,02,09,19.1,1,Y
IDCJAC0011,066214,2020,02,10,19.2,1,Y
IDCJAC0011,066214,2020,02,11,20.6,1,Y
IDCJAC0011,066214,2020,02,12,21.9,1,Y
IDCJAC0011,066214,2020,02,13,21.5,1,Y
IDCJAC0011,066214,2020,02,14,20.2,1,Y
IDCJAC0011,066214,2020,02,15,18.3,1,Y
IDCJAC0011,066214,2020,02,16,20.2,1,Y
IDCJAC0011,066214,2020,02,17,20.7,1,Y
IDCJAC0011,066214,2020,02,18,20.3,1,Y
IDCJAC0011,066214,2020,02,19,19.9,1,Y
IDCJAC0011,066214,2020,02,20,17.7,1,Y
IDCJAC0011,066214,2020,02,21,19.7,1,Y
IDCJAC0011,066214,2020,02,22,18.5,1,Y
IDCJAC0011,066214,2020,02,23,19.4,1,Y
IDCJAC0011,066214,2020,02,24,19.1,1,Y
IDCJAC0011,066214,2020,02,25,19.8,1,Y
IDCJAC0011,066214,2020,02,26,21.7,1,Y
IDCJAC0011,066214,2020,02,27,20.1,1,Y
IDCJAC0011,066214,2020,02,28,18.7,1,Y
IDCJAC0011,066214,2020,02,29,19.0,1,Y
IDCJAC0011,066214,2020,03,01,18.7,1,Y
IDCJAC0011,066214,2020,03,02,20.0,1,Y
IDCJAC0011,066214,2020,03,03,20.4,1,Y
IDCJAC0011,066214,2020,03,04,18.6,1,Y
IDCJAC0011,066214,2020,03,05,19.9,1,Y
IDCJAC0011,066214,2020,03,06,20.7,1,Y
IDCJAC0011,066214,2020,03,07,19.4,1,Y
IDCJAC0011,066214,2020,03,08,16.6,1,Y
IDCJAC0011,066214,2020,03,09,16.7,1,Y
IDCJAC0011,066214,2020,03,10,16.6,1,Y
IDCJAC0011,066214,2020,03,11,15.4,1,Y
IDCJAC0011,066214,2020,03,12,17.0,1,Y
IDCJAC0011,066214,2020,03,13,15.1,1,Y
IDCJAC0011,066214,2020,03,14,17.1,1,Y
IDCJAC0011,066214,2020,03,15,13.0,1,Y
IDCJAC0011,066214,2020,03,16,15.7,1,Y
IDCJAC0011,066214,2020,03,17,14.8,1,Y
IDCJAC0011,066214,2020,03,18,14.6,1,Y
IDCJAC0011,066214,2020,03,19,15.8,1,Y
IDCJAC0011,066214,2020,03,20,18.2,1,Y
IDCJAC0011,066214,2020,03,21,18.1,1,Y
IDCJAC0011,066214,2020,03,22,18.0,1,Y
IDCJAC0011,066214,2020,03,23,18.1,1,Y
IDCJAC0011,066214,2020,03,24,16.4,1,Y
IDCJAC0011,066214,2020,03,25,17.4,1,Y
IDCJAC0011,066214,2020,03,26,16.9,1,Y
IDCJAC0011,066214,2020,03,27,17.4,1,Y
IDCJAC0011,066214,2020,03,28,15.0,1,Y
IDCJAC0011,066214,2020,03,29,16.4,1,Y
IDCJAC0011,066214,2020,03,30,18.5,1,Y
IDCJAC0011,066214,2020,03,31,17.2,1,Y
IDCJAC0011,066214,2020,04,01,18.1,1,Y
IDCJAC0011,066214,2020,04,02,18.8,1,Y
IDCJAC0011,066214,2020,04,03,17.5,1,Y
IDCJAC0011,066214,2020,04,04,18.8,1,Y
IDCJAC0011,066214,2020,04,05,14.0,1,Y
IDCJAC0011,066214,2020,04,06,14.1,1,Y
IDCJAC0011,066214,2020,04,07,15.2,1,Y
IDCJAC0011,066214,2020,04,08,15.8,1,Y
IDCJAC0011,066214,2020,04,09,16.3,1,Y
IDCJAC0011,066214,2020,04,10,17.6,1,Y
IDCJAC0011,066214,2020,04,11,13.7,1,Y
IDCJAC0011,066214,2020,04,12,11.9,1,Y
IDCJAC0011,066214,2020,04,13,11.2,1,Y
IDCJAC0011,066214,2020,04,14,12.9,1,Y
IDCJAC0011,066214,2020,04,15,14.8,1,Y
IDCJAC0011,066214,2020,04,16,17.7,1,Y
IDCJAC0011,066214,2020,04,17,17.2,1,Y
IDCJAC0011,066214,2020,04,18,13.0,1,Y
IDCJAC0011,066214,2020,04,19,12.2,1,Y
IDCJAC0011,066214,2020,04,20,13.6,1,Y
IDCJAC0011,066214,2020,04,21,13.9,1,Y
IDCJAC0011,066214,2020,04,22,13.9,1,Y
IDCJAC0011,066214,2020,04,23,12.9,1,Y
IDCJAC0011,066214,2020,04,24,16.4,1,Y
IDCJAC0011,066214,2020,04,25,14.2,1,Y
IDCJAC0011,066214,2020,04,26,16.0,1,Y
IDCJAC0011,066214,2020,04,27,16.1,1,Y
IDCJAC0011,066214,2020,04,28,17.0,1,Y
IDCJAC0011,066214,2020,04,29,16.9,1,Y
IDCJAC0011,066214,2020,04,30,19.1,1,Y
IDCJAC0011,066214,2020,05,01,10.3,1,Y
IDCJAC0011,066214,2020,05,02,12.4,1,Y
IDCJAC0011,066214,2020,05,03,10.8,1,Y
IDCJAC0011,066214,2020,05,04,9.5,1,Y
IDCJAC0011,066214,2020,05,05,11.7,1,Y
IDCJAC0011,066214,2020,05,06,11.0,1,Y
IDCJAC0011,066214,2020,05,07,11.2,1,Y
IDCJAC0011,066214,2020,05,08,13.9,1,Y
IDCJAC0011,066214,2020,05,09,16.3,1,Y
IDCJAC0011,066214,2020,05,10,11.3,1,Y
IDCJAC0011,066214,2020,05,11,8.0,1,Y
IDCJAC0011,066214,2020,05,12,8.5,1,Y
IDCJAC0011,066214,2020,05,13,10.1,1,Y
IDCJAC0011,066214,2020,05,14,10.2,1,Y
IDCJAC0011,066214,2020,05,15,9.7,1,Y
IDCJAC0011,066214,2020,05,16,11.0,1,Y
IDCJAC0011,066214,2020,05,17,9.8,1,Y
IDCJAC0011,066214,2020,05,18,11.3,1,Y
IDCJAC0011,066214,2020,05,19,13.7,1,Y
IDCJAC0011,066214,2020,05,20,13.1,1,Y
IDCJAC0011,066214,2020,05,21,14.6,1,Y
IDCJAC0011,066214,2020,05,22,8.9,1,Y
IDCJAC0011,066214,2020,05,23,11.0,1,Y
IDCJAC0011,066214,2020,05,24,13.7,1,Y
IDCJAC0011,066214,2020,05,25,13.3,1,Y
IDCJAC0011,066214,2020,05,26,13.5,1,Y
IDCJAC0011,066214,2020,05,27,11.6,1,Y
IDCJAC0011,066214,2020,05,28,11.1,1,Y
IDCJAC0011,066214,2020,05,29,11.6,1,Y
IDCJAC0011,066214,2020,05,30,10.7,1,Y
IDCJAC0011,066214,2020,05,31,12.8,1,Y
IDCJAC0011,066214,2020,06,01,14.4,1,Y
IDCJAC0011,066214,2020,06,02,7.8,1,Y
IDCJAC0011,066214,2020,06,03,8.1,1,Y
IDCJAC0011,066214,2020,06,04,10.1,1,Y
IDCJAC0011,066214,2020,06,05,7.1,1,Y
IDCJAC0011,066214,2020,06,06,7.4,1,Y
